ENDTIME,EVENTS,FG2A,FG2M,FG3A,FG3M,GAMEDATE,GAMEID,NONSHOOTINGFOULSTHATRESULTEDINFTS,OFFENSIVEREBOUNDS,OPPONENT,PERIOD,SHOOTINGFOULSDRAWN,STARTSCOREDIFFERENTIAL,STARTTIME,STARTTYPE,TURNOVERS,DESCRIPTION,URL,HTM,VTM,team,TEAM_ID
00:06,"Johnson  Layup (6 PTS)
",1,1,0,0,2002-03-26,20101011,0,0,ATL,4,0,-28,00:14,Off At Rim Make,0,Johnson  Layup (6 PTS),,ATL,BKN,ATL,1610612737
00:23,"Vaughn STEAL (3 STL): Collins Bad Pass Turnover (P1.T25)
",0,0,0,0,2002-03-26,20101011,0,0,ATL,4,0,-26,00:29,Off Short Mid-Range Miss,1,Vaughn STEAL (3 STL): Collins Bad Pass Turnover (P1.T25),,ATL,BKN,ATL,1610612737
01:09,"Strickland STEAL (1 STL): Scalabrine Bad Pass Turnover (P3.T24)
",0,0,0,0,2002-03-26,20101011,0,0,ATL,4,0,-26,01:14,Off Long Mid-Range Miss,1,Strickland STEAL (1 STL): Scalabrine Bad Pass Turnover (P3.T24),,ATL,BKN,ATL,1610612737
01:39,"Scalabrine  Reverse Layup (4 PTS) (Armstrong 1 AST)
",1,1,0,0,2002-03-26,20101011,0,0,ATL,4,0,-28,02:02,Off Short Mid-Range Make,0,Scalabrine  Reverse Layup (4 PTS) (Armstrong 1 AST),,ATL,BKN,ATL,1610612737
02:24,"MISS Johnson 24' 3PT Jump Shot
Strickland REBOUND (Off:0 Def:1)
",0,0,1,0,2002-03-26,20101011,0,0,ATL,4,0,-26,02:36,Off Dead Ball,0,MISS Johnson 24' 3PT Jump Shot,,ATL,BKN,ATL,1610612737
02:24,"MISS Johnson 24' 3PT Jump Shot
Strickland REBOUND (Off:0 Def:1)
",0,0,1,0,2002-03-26,20101011,0,0,ATL,4,0,-26,02:36,Off Dead Ball,0,Strickland REBOUND (Off:0 Def:1),,ATL,BKN,ATL,1610612737
02:58,"MISS Marshall 12' Jump Shot
Johnson REBOUND (Off:2 Def:8)
",1,0,0,0,2002-03-26,20101011,0,0,ATL,4,0,-26,03:15,Off FT Miss,0,MISS Marshall 12' Jump Shot,,ATL,BKN,ATL,1610612737
02:58,"MISS Marshall 12' Jump Shot
Johnson REBOUND (Off:2 Def:8)
",1,0,0,0,2002-03-26,20101011,0,0,ATL,4,0,-26,03:15,Off FT Miss,0,Johnson REBOUND (Off:2 Def:8),,ATL,BKN,ATL,1610612737
03:38,"Johnson STEAL (2 STL): Scalabrine Bad Pass Turnover (P2.T23)
",0,0,0,0,2002-03-26,20101011,0,0,ATL,4,0,-25,03:49,Off FT Make,1,Johnson STEAL (2 STL): Scalabrine Bad Pass Turnover (P2.T23),,ATL,BKN,ATL,1610612737
04:03,"MISS Collins 5' Jump Shot
Armstrong REBOUND (Off:1 Def:0)
MISS Scalabrine 19' Jump Shot
Mottola REBOUND (Off:0 Def:3)
",2,0,0,0,2002-03-26,20101011,0,1,ATL,4,0,-23,04:37,Off Steal,0,MISS Collins 5' Jump Shot,,ATL,BKN,ATL,1610612737
04:03,"MISS Collins 5' Jump Shot
Armstrong REBOUND (Off:1 Def:0)
MISS Scalabrine 19' Jump Shot
Mottola REBOUND (Off:0 Def:3)
",2,0,0,0,2002-03-26,20101011,0,1,ATL,4,0,-23,04:37,Off Steal,0,Armstrong REBOUND (Off:1 Def:0),,ATL,BKN,ATL,1610612737
04:03,"MISS Collins 5' Jump Shot
Armstrong REBOUND (Off:1 Def:0)
MISS Scalabrine 19' Jump Shot
Mottola REBOUND (Off:0 Def:3)
",2,0,0,0,2002-03-26,20101011,0,1,ATL,4,0,-23,04:37,Off Steal,0,MISS Scalabrine 19' Jump Shot,,ATL,BKN,ATL,1610612737
04:03,"MISS Collins 5' Jump Shot
Armstrong REBOUND (Off:1 Def:0)
MISS Scalabrine 19' Jump Shot
Mottola REBOUND (Off:0 Def:3)
",2,0,0,0,2002-03-26,20101011,0,1,ATL,4,0,-23,04:37,Off Steal,0,Mottola REBOUND (Off:0 Def:3),,ATL,BKN,ATL,1610612737
04:55,"Mohammed P.FOUL (P1.PN)
MISS Collins Free Throw 1 of 2
Nets Rebound
Collins Free Throw 2 of 2 (7 PTS)
",0,0,0,0,2002-03-26,20101011,1,0,ATL,4,0,-24,05:05,Off Long Mid-Range Make,0,Mohammed P.FOUL (P1.PN),,ATL,BKN,ATL,1610612737
04:55,"Mohammed P.FOUL (P1.PN)
MISS Collins Free Throw 1 of 2
Nets Rebound
Collins Free Throw 2 of 2 (7 PTS)
",0,0,0,0,2002-03-26,20101011,1,0,ATL,4,0,-24,05:05,Off Long Mid-Range Make,0,MISS Collins Free Throw 1 of 2,,ATL,BKN,ATL,1610612737
04:55,"Mohammed P.FOUL (P1.PN)
MISS Collins Free Throw 1 of 2
Nets Rebound
Collins Free Throw 2 of 2 (7 PTS)
",0,0,0,0,2002-03-26,20101011,1,0,ATL,4,0,-24,05:05,Off Long Mid-Range Make,0,Nets Rebound,,ATL,BKN,ATL,1610612737
04:55,"Mohammed P.FOUL (P1.PN)
MISS Collins Free Throw 1 of 2
Nets Rebound
Collins Free Throw 2 of 2 (7 PTS)
",0,0,0,0,2002-03-26,20101011,1,0,ATL,4,0,-24,05:05,Off Long Mid-Range Make,0,Collins Free Throw 2 of 2 (7 PTS),,ATL,BKN,ATL,1610612737
05:21,"MISS Scalabrine 10' Jump Shot
Johnson REBOUND (Off:1 Def:7)
",1,0,0,0,2002-03-26,20101011,0,0,ATL,4,0,-22,05:43,Off Dead Ball,0,MISS Scalabrine 10' Jump Shot,,ATL,BKN,ATL,1610612737
