ENDTIME,EVENTS,FG2A,FG2M,FG3A,FG3M,GAMEDATE,GAMEID,NONSHOOTINGFOULSTHATRESULTEDINFTS,OFFENSIVEREBOUNDS,OPPONENT,PERIOD,SHOOTINGFOULSDRAWN,STARTSCOREDIFFERENTIAL,STARTTIME,STARTTYPE,TURNOVERS,DESCRIPTION,URL,HTM,VTM,team,TEAM_ID
02:13,"Wright S.FOUL (P2.PN)
MISS Splitter Free Throw 1 of 2
SPURS Rebound
MISS Splitter Free Throw 2 of 2
Green REBOUND (Off:1 Def:4)
MISS Belinelli 17' Jump Shot
Harris REBOUND (Off:0 Def:3)
",1,0,0,0,2014-04-20,41300141,0,1,DAL,3,1,-4,02:41,Off Timeout,0,Green REBOUND (Off:1 Def:4),,SAS,DAL,SAS,1610612759
02:13,"Wright S.FOUL (P2.PN)
MISS Splitter Free Throw 1 of 2
SPURS Rebound
MISS Splitter Free Throw 2 of 2
Green REBOUND (Off:1 Def:4)
MISS Belinelli 17' Jump Shot
Harris REBOUND (Off:0 Def:3)
",1,0,0,0,2014-04-20,41300141,0,1,DAL,3,1,-4,02:41,Off Timeout,0,MISS Splitter Free Throw 2 of 2,,SAS,DAL,SAS,1610612759
02:13,"Wright S.FOUL (P2.PN)
MISS Splitter Free Throw 1 of 2
SPURS Rebound
MISS Splitter Free Throw 2 of 2
Green REBOUND (Off:1 Def:4)
MISS Belinelli 17' Jump Shot
Harris REBOUND (Off:0 Def:3)
",1,0,0,0,2014-04-20,41300141,0,1,DAL,3,1,-4,02:41,Off Timeout,0,SPURS Rebound,,SAS,DAL,SAS,1610612759
11:36,"MISS Leonard 24' 3PT Jump Shot
Mavericks Rebound
",0,0,1,0,2014-04-20,41300141,0,0,DAL,1,0,0,12:00,Off Dead Ball,0,Mavericks Rebound,,SAS,DAL,SAS,1610612759
11:36,"MISS Leonard 24' 3PT Jump Shot
Mavericks Rebound
",0,0,1,0,2014-04-20,41300141,0,0,DAL,1,0,0,12:00,Off Dead Ball,0,MISS Leonard 24' 3PT Jump Shot,,SAS,DAL,SAS,1610612759
11:02,"MISS Duncan 13' Turnaround Bank Shot
Dalembert REBOUND (Off:0 Def:1)
",1,0,0,0,2014-04-20,41300141,0,0,DAL,1,0,0,11:24,Off Dead Ball,0,Dalembert REBOUND (Off:0 Def:1),,SAS,DAL,SAS,1610612759
11:02,"MISS Duncan 13' Turnaround Bank Shot
Dalembert REBOUND (Off:0 Def:1)
",1,0,0,0,2014-04-20,41300141,0,0,DAL,1,0,0,11:24,Off Dead Ball,0,MISS Duncan 13' Turnaround Bank Shot,,SAS,DAL,SAS,1610612759
10:26,"Parker 2' Driving Layup (2 PTS)
",1,1,0,0,2014-04-20,41300141,0,0,DAL,1,0,0,10:50,Off Long Mid-Range Miss,0,Parker 2' Driving Layup (2 PTS),,SAS,DAL,SAS,1610612759
09:55,"MISS Duncan 3' Layup
Mavericks Rebound
",1,0,0,0,2014-04-20,41300141,0,0,DAL,1,0,2,10:13,Off Dead Ball,0,Mavericks Rebound,,SAS,DAL,SAS,1610612759
09:55,"MISS Duncan 3' Layup
Mavericks Rebound
",1,0,0,0,2014-04-20,41300141,0,0,DAL,1,0,2,10:13,Off Dead Ball,0,MISS Duncan 3' Layup,,SAS,DAL,SAS,1610612759
09:35,"MISS Parker 20' Jump Shot
Dalembert REBOUND (Off:0 Def:2)
",1,0,0,0,2014-04-20,41300141,0,0,DAL,1,0,0,09:43,Off At Rim Make,0,Dalembert REBOUND (Off:0 Def:2),,SAS,DAL,SAS,1610612759
09:35,"MISS Parker 20' Jump Shot
Dalembert REBOUND (Off:0 Def:2)
",1,0,0,0,2014-04-20,41300141,0,0,DAL,1,0,0,09:43,Off At Rim Make,0,MISS Parker 20' Jump Shot,,SAS,DAL,SAS,1610612759
09:12,"Parker 2' Layup (4 PTS) (Splitter 1 AST)
Calderon S.FOUL (P1.T1)
Parker Free Throw 1 of 1 (5 PTS)
",1,1,0,0,2014-04-20,41300141,0,0,DAL,1,1,0,09:15,Off Steal,0,Parker Free Throw 1 of 1 (5 PTS),,SAS,DAL,SAS,1610612759
09:12,"Parker 2' Layup (4 PTS) (Splitter 1 AST)
Calderon S.FOUL (P1.T1)
Parker Free Throw 1 of 1 (5 PTS)
",1,1,0,0,2014-04-20,41300141,0,0,DAL,1,1,0,09:15,Off Steal,0,Calderon S.FOUL (P1.T1),,SAS,DAL,SAS,1610612759
10:16,"Ginobili Lost Ball Turnover (P2.T8): Wright STEAL (2 STL)
",0,0,0,0,2014-04-20,41300141,0,0,DAL,4,0,-2,10:29,Off Short Mid-Range Miss,1,Ginobili Lost Ball Turnover (P2.T8): Wright STEAL (2 STL),,SAS,DAL,SAS,1610612759
10:41,"MISS Ginobili 24' 3PT Jump Shot
Crowder REBOUND (Off:0 Def:3)
",0,0,1,0,2014-04-20,41300141,0,0,DAL,4,0,-2,10:57,Off Short Mid-Range Make,0,MISS Ginobili 24' 3PT Jump Shot,,SAS,DAL,SAS,1610612759
10:41,"MISS Ginobili 24' 3PT Jump Shot
Crowder REBOUND (Off:0 Def:3)
",0,0,1,0,2014-04-20,41300141,0,0,DAL,4,0,-2,10:57,Off Short Mid-Range Make,0,Crowder REBOUND (Off:0 Def:3),,SAS,DAL,SAS,1610612759
01:46,"Nowitzki S.FOUL (P1.PN)
Splitter Free Throw 1 of 2 (7 PTS)
Splitter Free Throw 2 of 2 (8 PTS)
",0,0,0,0,2014-04-20,41300141,0,0,DAL,4,1,4,02:04,Off FT Miss,0,Splitter Free Throw 1 of 2 (7 PTS),,SAS,DAL,SAS,1610612759
01:46,"Nowitzki S.FOUL (P1.PN)
Splitter Free Throw 1 of 2 (7 PTS)
Splitter Free Throw 2 of 2 (8 PTS)
",0,0,0,0,2014-04-20,41300141,0,0,DAL,4,1,4,02:04,Off FT Miss,0,Nowitzki S.FOUL (P1.PN),,SAS,DAL,SAS,1610612759
08:23,"Crowder P.FOUL (P2.T1)
Crowder P.FOUL (P3.T2)
Ginobili 2' Driving Layup (15 PTS)
",1,1,0,0,2014-04-20,41300141,0,0,DAL,4,0,-6,08:54,Off Long Mid-Range Make,0,Crowder P.FOUL (P2.T1),,SAS,DAL,SAS,1610612759
08:23,"Crowder P.FOUL (P2.T1)
Crowder P.FOUL (P3.T2)
Ginobili 2' Driving Layup (15 PTS)
",1,1,0,0,2014-04-20,41300141,0,0,DAL,4,0,-6,08:54,Off Long Mid-Range Make,0,Crowder P.FOUL (P3.T2),,SAS,DAL,SAS,1610612759
08:23,"Crowder P.FOUL (P2.T1)
Crowder P.FOUL (P3.T2)
Ginobili 2' Driving Layup (15 PTS)
",1,1,0,0,2014-04-20,41300141,0,0,DAL,4,0,-6,08:54,Off Long Mid-Range Make,0,Ginobili 2' Driving Layup (15 PTS),,SAS,DAL,SAS,1610612759
00:31,"MISS Ginobili 24' 3PT Jump Shot
Splitter REBOUND (Off:3 Def:4)
Splitter 2' Layup (4 PTS)
",1,1,1,0,2014-04-20,41300141,0,1,DAL,3,0,-2,00:48,Off Short Mid-Range Miss,0,MISS Ginobili 24' 3PT Jump Shot,,SAS,DAL,SAS,1610612759
02:13,"Wright S.FOUL (P2.PN)
MISS Splitter Free Throw 1 of 2
SPURS Rebound
MISS Splitter Free Throw 2 of 2
Green REBOUND (Off:1 Def:4)
MISS Belinelli 17' Jump Shot
Harris REBOUND (Off:0 Def:3)
",1,0,0,0,2014-04-20,41300141,0,1,DAL,3,1,-4,02:41,Off Timeout,0,Wright S.FOUL (P2.PN),,SAS,DAL,SAS,1610612759
01:45,"MISS Green 4' Running Layup
Splitter REBOUND (Off:2 Def:3)
MISS Splitter  Layup: Wright BLOCK (1 BLK)
Carter REBOUND (Off:0 Def:2)
",2,0,0,0,2014-04-20,41300141,0,1,DAL,3,0,-4,01:59,Off Long Mid-Range Miss,0,Carter REBOUND (Off:0 Def:2),,SAS,DAL,SAS,1610612759
01:45,"MISS Green 4' Running Layup
Splitter REBOUND (Off:2 Def:3)
MISS Splitter  Layup: Wright BLOCK (1 BLK)
Carter REBOUND (Off:0 Def:2)
",2,0,0,0,2014-04-20,41300141,0,1,DAL,3,0,-4,01:59,Off Long Mid-Range Miss,0,MISS Splitter  Layup: Wright BLOCK (1 BLK),,SAS,DAL,SAS,1610612759
01:45,"MISS Green 4' Running Layup
Splitter REBOUND (Off:2 Def:3)
MISS Splitter  Layup: Wright BLOCK (1 BLK)
Carter REBOUND (Off:0 Def:2)
",2,0,0,0,2014-04-20,41300141,0,1,DAL,3,0,-4,01:59,Off Long Mid-Range Miss,0,Splitter REBOUND (Off:2 Def:3),,SAS,DAL,SAS,1610612759
01:45,"MISS Green 4' Running Layup
Splitter REBOUND (Off:2 Def:3)
MISS Splitter  Layup: Wright BLOCK (1 BLK)
Carter REBOUND (Off:0 Def:2)
",2,0,0,0,2014-04-20,41300141,0,1,DAL,3,0,-4,01:59,Off Long Mid-Range Miss,0,MISS Green 4' Running Layup,,SAS,DAL,SAS,1610612759
01:08,"Wright S.FOUL (P3.PN)
Ginobili Free Throw 1 of 2 (12 PTS)
Ginobili Free Throw 2 of 2 (13 PTS)
",0,0,0,0,2014-04-20,41300141,0,0,DAL,3,1,-4,01:22,Off Long Mid-Range Miss,0,Ginobili Free Throw 2 of 2 (13 PTS),,SAS,DAL,SAS,1610612759
01:08,"Wright S.FOUL (P3.PN)
Ginobili Free Throw 1 of 2 (12 PTS)
Ginobili Free Throw 2 of 2 (13 PTS)
",0,0,0,0,2014-04-20,41300141,0,0,DAL,3,1,-4,01:22,Off Long Mid-Range Miss,0,Ginobili Free Throw 1 of 2 (12 PTS),,SAS,DAL,SAS,1610612759
01:08,"Wright S.FOUL (P3.PN)
Ginobili Free Throw 1 of 2 (12 PTS)
Ginobili Free Throw 2 of 2 (13 PTS)
",0,0,0,0,2014-04-20,41300141,0,0,DAL,3,1,-4,01:22,Off Long Mid-Range Miss,0,Wright S.FOUL (P3.PN),,SAS,DAL,SAS,1610612759
00:31,"MISS Ginobili 24' 3PT Jump Shot
Splitter REBOUND (Off:3 Def:4)
Splitter 2' Layup (4 PTS)
",1,1,1,0,2014-04-20,41300141,0,1,DAL,3,0,-2,00:48,Off Short Mid-Range Miss,0,Splitter 2' Layup (4 PTS),,SAS,DAL,SAS,1610612759
00:31,"MISS Ginobili 24' 3PT Jump Shot
Splitter REBOUND (Off:3 Def:4)
Splitter 2' Layup (4 PTS)
",1,1,1,0,2014-04-20,41300141,0,1,DAL,3,0,-2,00:48,Off Short Mid-Range Miss,0,Splitter REBOUND (Off:3 Def:4),,SAS,DAL,SAS,1610612759
00:00,"MISS Ginobili 26' 3PT Jump Shot
SPURS Rebound
",0,0,1,0,2014-04-20,41300141,0,0,DAL,3,0,0,00:04,Off Steal,0,SPURS Rebound,,SAS,DAL,SAS,1610612759
09:11,"Duncan 7' Jump Shot (20 PTS) (Diaw 2 AST)
",1,1,0,0,2014-04-20,41300141,0,0,DAL,4,0,-6,09:26,Off Timeout,0,Duncan 7' Jump Shot (20 PTS) (Diaw 2 AST),,SAS,DAL,SAS,1610612759
00:00,"MISS Ginobili 26' 3PT Jump Shot
SPURS Rebound
",0,0,1,0,2014-04-20,41300141,0,0,DAL,3,0,0,00:04,Off Steal,0,MISS Ginobili 26' 3PT Jump Shot,,SAS,DAL,SAS,1610612759
11:48,"Ginobili Bad Pass Turnover (P1.T7): Wright STEAL (1 STL)
",0,0,0,0,2014-04-20,41300141,0,0,DAL,4,0,0,12:00,Off Dead Ball,1,Ginobili Bad Pass Turnover (P1.T7): Wright STEAL (1 STL),,SAS,DAL,SAS,1610612759
02:17,"Harris S.FOUL (P2.T4)
MISS Duncan Free Throw 1 of 2
SPURS Rebound
Duncan Free Throw 2 of 2 (27 PTS)
",0,0,0,0,2014-04-20,41300141,0,0,DAL,4,1,4,02:25,Off Short Mid-Range Miss,0,MISS Duncan Free Throw 1 of 2,,SAS,DAL,SAS,1610612759
02:17,"Harris S.FOUL (P2.T4)
MISS Duncan Free Throw 1 of 2
SPURS Rebound
Duncan Free Throw 2 of 2 (27 PTS)
",0,0,0,0,2014-04-20,41300141,0,0,DAL,4,1,4,02:25,Off Short Mid-Range Miss,0,SPURS Rebound,,SAS,DAL,SAS,1610612759
02:17,"Harris S.FOUL (P2.T4)
MISS Duncan Free Throw 1 of 2
SPURS Rebound
Duncan Free Throw 2 of 2 (27 PTS)
",0,0,0,0,2014-04-20,41300141,0,0,DAL,4,1,4,02:25,Off Short Mid-Range Miss,0,Duncan Free Throw 2 of 2 (27 PTS),,SAS,DAL,SAS,1610612759
02:13,"Wright S.FOUL (P2.PN)
MISS Splitter Free Throw 1 of 2
SPURS Rebound
MISS Splitter Free Throw 2 of 2
Green REBOUND (Off:1 Def:4)
MISS Belinelli 17' Jump Shot
Harris REBOUND (Off:0 Def:3)
",1,0,0,0,2014-04-20,41300141,0,1,DAL,3,1,-4,02:41,Off Timeout,0,MISS Splitter Free Throw 1 of 2,,SAS,DAL,SAS,1610612759
07:57,"Ginobili Bad Pass Turnover (P3.T9): Crowder STEAL (1 STL)
",0,0,0,0,2014-04-20,41300141,0,0,DAL,4,0,-7,08:04,Off Corner 3 Make,1,Ginobili Bad Pass Turnover (P3.T9): Crowder STEAL (1 STL),,SAS,DAL,SAS,1610612759
07:22,"Duncan 7' Turnaround Bank Shot (22 PTS)
",1,1,0,0,2014-04-20,41300141,0,0,DAL,4,0,-10,07:45,Off FT Make,0,Duncan 7' Turnaround Bank Shot (22 PTS),,SAS,DAL,SAS,1610612759
06:48,"Duncan 6' Running Jump Shot (24 PTS) (Parker 5 AST)
",1,1,0,0,2014-04-20,41300141,0,0,DAL,4,0,-8,07:03,Off Long Mid-Range Miss,0,Duncan 6' Running Jump Shot (24 PTS) (Parker 5 AST),,SAS,DAL,SAS,1610612759
06:18,"MISS Duncan 7' Turnaround Bank Shot
Wright REBOUND (Off:1 Def:1)
",1,0,0,0,2014-04-20,41300141,0,0,DAL,4,0,-6,06:32,Off Arc 3 Miss,0,Wright REBOUND (Off:1 Def:1),,SAS,DAL,SAS,1610612759
06:18,"MISS Duncan 7' Turnaround Bank Shot
Wright REBOUND (Off:1 Def:1)
",1,0,0,0,2014-04-20,41300141,0,0,DAL,4,0,-6,06:32,Off Arc 3 Miss,0,MISS Duncan 7' Turnaround Bank Shot,,SAS,DAL,SAS,1610612759
05:59,"Ellis Shooting Block Foul (P4.T3)
Leonard Free Throw 1 of 2 (10 PTS)
Leonard Free Throw 2 of 2 (11 PTS)
",0,0,0,0,2014-04-20,41300141,0,0,DAL,4,1,-6,06:02,Off Steal,0,Leonard Free Throw 2 of 2 (11 PTS),,SAS,DAL,SAS,1610612759
