ENDTIME,EVENTS,FG2A,FG2M,FG3A,FG3M,GAMEDATE,GAMEID,NONSHOOTINGFOULSTHATRESULTEDINFTS,OFFENSIVEREBOUNDS,OPPONENT,PERIOD,SHOOTINGFOULSDRAWN,STARTSCOREDIFFERENTIAL,STARTTIME,STARTTYPE,TURNOVERS,DESCRIPTION,URL,HTM,VTM,team,TEAM_ID
00:00,,0,0,0,0,2012-01-07,21100118,0,0,MIL,4,0,6,00:22,Off Steal,0,,,LAC,MIL,LAC,1610612746
00:33,"Jennings Personal Take Foul (P4.PN)
Paul Free Throw 1 of 2 (9 PTS)
MISS Paul Free Throw 2 of 2
Gooden REBOUND (Off:4 Def:9)
",0,0,0,0,2012-01-07,21100118,1,0,MIL,4,0,5,00:37,Off Arc 3 Make,0,Jennings Personal Take Foul (P4.PN),,LAC,MIL,LAC,1610612746
00:33,"Jennings Personal Take Foul (P4.PN)
Paul Free Throw 1 of 2 (9 PTS)
MISS Paul Free Throw 2 of 2
Gooden REBOUND (Off:4 Def:9)
",0,0,0,0,2012-01-07,21100118,1,0,MIL,4,0,5,00:37,Off Arc 3 Make,0,Paul Free Throw 1 of 2 (9 PTS),,LAC,MIL,LAC,1610612746
00:33,"Jennings Personal Take Foul (P4.PN)
Paul Free Throw 1 of 2 (9 PTS)
MISS Paul Free Throw 2 of 2
Gooden REBOUND (Off:4 Def:9)
",0,0,0,0,2012-01-07,21100118,1,0,MIL,4,0,5,00:37,Off Arc 3 Make,0,MISS Paul Free Throw 2 of 2,,LAC,MIL,LAC,1610612746
00:33,"Jennings Personal Take Foul (P4.PN)
Paul Free Throw 1 of 2 (9 PTS)
MISS Paul Free Throw 2 of 2
Gooden REBOUND (Off:4 Def:9)
",0,0,0,0,2012-01-07,21100118,1,0,MIL,4,0,5,00:37,Off Arc 3 Make,0,Gooden REBOUND (Off:4 Def:9),,LAC,MIL,LAC,1610612746
00:52,"MISS Griffin 2' Layup
Griffin REBOUND (Off:3 Def:11)
MISS Butler 28' 3PT Jump Shot
Bucks Rebound
",1,0,1,0,2012-01-07,21100118,0,1,MIL,4,0,8,01:34,Off At Rim Make,0,MISS Griffin 2' Layup,,LAC,MIL,LAC,1610612746
00:52,"MISS Griffin 2' Layup
Griffin REBOUND (Off:3 Def:11)
MISS Butler 28' 3PT Jump Shot
Bucks Rebound
",1,0,1,0,2012-01-07,21100118,0,1,MIL,4,0,8,01:34,Off At Rim Make,0,Griffin REBOUND (Off:3 Def:11),,LAC,MIL,LAC,1610612746
00:52,"MISS Griffin 2' Layup
Griffin REBOUND (Off:3 Def:11)
MISS Butler 28' 3PT Jump Shot
Bucks Rebound
",1,0,1,0,2012-01-07,21100118,0,1,MIL,4,0,8,01:34,Off At Rim Make,0,MISS Butler 28' 3PT Jump Shot,,LAC,MIL,LAC,1610612746
00:52,"MISS Griffin 2' Layup
Griffin REBOUND (Off:3 Def:11)
MISS Butler 28' 3PT Jump Shot
Bucks Rebound
",1,0,1,0,2012-01-07,21100118,0,1,MIL,4,0,8,01:34,Off At Rim Make,0,Bucks Rebound,,LAC,MIL,LAC,1610612746
01:38,"Paul Lost Ball Turnover (P4.T14): Jennings STEAL (2 STL)
",0,0,0,0,2012-01-07,21100118,0,0,MIL,4,0,10,01:57,Off Dead Ball,1,Paul Lost Ball Turnover (P4.T14): Jennings STEAL (2 STL),,LAC,MIL,LAC,1610612746
