ENDTIME,EVENTS,FG2A,FG2M,FG3A,FG3M,GAMEDATE,GAMEID,NONSHOOTINGFOULSTHATRESULTEDINFTS,OFFENSIVEREBOUNDS,OPPONENT,PERIOD,SHOOTINGFOULSDRAWN,STARTSCOREDIFFERENTIAL,STARTTIME,STARTTYPE,TURNOVERS,DESCRIPTION,URL,HTM,VTM,team,TEAM_ID
00:20,"Felton  Driving Layup (30 PTS)
",1,1,0,0,2006-03-22,20501004,0,0,CLE,5,0,-2,00:36,Off FT Make,0,Felton  Driving Layup (30 PTS),,CLE,CHA,CHA,1610612766
00:53,"Marshall S.FOUL (P1.T3)
Felton Free Throw 1 of 2 (27 PTS)
Felton Free Throw 2 of 2 (28 PTS)
",0,0,0,0,2006-03-22,20501004,0,0,CLE,5,1,-2,01:11,Off At Rim Block,0,Marshall S.FOUL (P1.T3),,CLE,CHA,CHA,1610612766
00:53,"Marshall S.FOUL (P1.T3)
Felton Free Throw 1 of 2 (27 PTS)
Felton Free Throw 2 of 2 (28 PTS)
",0,0,0,0,2006-03-22,20501004,0,0,CLE,5,1,-2,01:11,Off At Rim Block,0,Felton Free Throw 1 of 2 (27 PTS),,CLE,CHA,CHA,1610612766
00:53,"Marshall S.FOUL (P1.T3)
Felton Free Throw 1 of 2 (27 PTS)
Felton Free Throw 2 of 2 (28 PTS)
",0,0,0,0,2006-03-22,20501004,0,0,CLE,5,1,-2,01:11,Off At Rim Block,0,Felton Free Throw 2 of 2 (28 PTS),,CLE,CHA,CHA,1610612766
01:26,"Felton  3PT Jump Shot (26 PTS) (Robinson 3 AST)
",0,0,1,1,2006-03-22,20501004,0,0,CLE,5,0,-5,01:30,Off Timeout,0,Felton  3PT Jump Shot (26 PTS) (Robinson 3 AST),,CLE,CHA,CHA,1610612766
01:31,"MISS Felton 2' Layup
Snow REBOUND (Off:1 Def:5)
",1,0,0,0,2006-03-22,20501004,0,0,CLE,5,0,-3,01:42,Off Timeout,0,MISS Felton 2' Layup,,CLE,CHA,CHA,1610612766
01:31,"MISS Felton 2' Layup
Snow REBOUND (Off:1 Def:5)
",1,0,0,0,2006-03-22,20501004,0,0,CLE,5,0,-3,01:42,Off Timeout,0,Snow REBOUND (Off:1 Def:5),,CLE,CHA,CHA,1610612766
02:07,"Felton 2' Driving Layup (23 PTS)
",1,1,0,0,2006-03-22,20501004,0,0,CLE,5,0,-2,02:22,Off Arc 3 Make,0,Felton 2' Driving Layup (23 PTS),,CLE,CHA,CHA,1610612766
02:45,"James S.FOUL (P4.T2)
MISS Felton Free Throw 1 of 2
Bobcats Rebound
Felton Free Throw 2 of 2 (21 PTS)
",0,0,0,0,2006-03-22,20501004,0,0,CLE,5,1,0,02:56,Off Arc 3 Miss,0,James S.FOUL (P4.T2),,CLE,CHA,CHA,1610612766
02:45,"James S.FOUL (P4.T2)
MISS Felton Free Throw 1 of 2
Bobcats Rebound
Felton Free Throw 2 of 2 (21 PTS)
",0,0,0,0,2006-03-22,20501004,0,0,CLE,5,1,0,02:56,Off Arc 3 Miss,0,MISS Felton Free Throw 1 of 2,,CLE,CHA,CHA,1610612766
