ENDTIME,EVENTS,FG2A,FG2M,FG3A,FG3M,GAMEDATE,GAMEID,NONSHOOTINGFOULSTHATRESULTEDINFTS,OFFENSIVEREBOUNDS,OPPONENT,PERIOD,SHOOTINGFOULSDRAWN,STARTSCOREDIFFERENTIAL,STARTTIME,STARTTYPE,TURNOVERS,DESCRIPTION,URL,HTM,VTM,team,TEAM_ID
00:25,"MISS Rose 9' Jump Shot
Iguodala REBOUND (Off:1 Def:5)
",1,0,0,0,2005-03-25,20401013,0,0,PHI,4,0,0,00:41,Off Timeout,0,MISS Rose 9' Jump Shot,,PHI,TOR,TOR,1610612761
00:25,"MISS Rose 9' Jump Shot
Iguodala REBOUND (Off:1 Def:5)
",1,0,0,0,2005-03-25,20401013,0,0,PHI,4,0,0,00:41,Off Timeout,0,Iguodala REBOUND (Off:1 Def:5),,PHI,TOR,TOR,1610612761
00:54,"MISS Rose 14' Jump Shot
Webber REBOUND (Off:0 Def:6)
",1,0,0,0,2005-03-25,20401013,0,0,PHI,4,0,0,01:11,Off Long Mid-Range Miss,0,MISS Rose 14' Jump Shot,,PHI,TOR,TOR,1610612761
00:54,"MISS Rose 14' Jump Shot
Webber REBOUND (Off:0 Def:6)
",1,0,0,0,2005-03-25,20401013,0,0,PHI,4,0,0,01:11,Off Long Mid-Range Miss,0,Webber REBOUND (Off:0 Def:6),,PHI,TOR,TOR,1610612761
01:29,"Alston 25' 3PT Jump Shot (18 PTS)
",0,0,1,1,2005-03-25,20401013,0,0,PHI,4,0,-3,01:50,Off Long Mid-Range Make,0,Alston 25' 3PT Jump Shot (18 PTS),,PHI,TOR,TOR,1610612761
02:01,"MISS Rose 4' Jump Shot
Webber REBOUND (Off:0 Def:5)
",1,0,0,0,2005-03-25,20401013,0,0,PHI,4,0,0,02:17,Off At Rim Miss,0,MISS Rose 4' Jump Shot,,PHI,TOR,TOR,1610612761
02:01,"MISS Rose 4' Jump Shot
Webber REBOUND (Off:0 Def:5)
",1,0,0,0,2005-03-25,20401013,0,0,PHI,4,0,0,02:17,Off At Rim Miss,0,Webber REBOUND (Off:0 Def:5),,PHI,TOR,TOR,1610612761
02:34,"Rose  Driving Hook Shot (8 PTS) (Marshall 1 AST)
",1,1,0,0,2005-03-25,20401013,0,0,PHI,4,0,-2,02:38,Off Steal,0,Rose  Driving Hook Shot (8 PTS) (Marshall 1 AST),,PHI,TOR,TOR,1610612761
02:57,"McKie P.FOUL (P5.PN)
MISS Rose Free Throw 1 of 2
Raptors Rebound
Rose Free Throw 2 of 2 (6 PTS)
",0,0,0,0,2005-03-25,20401013,1,0,PHI,4,0,-3,03:09,Off Corner 3 Miss,0,McKie P.FOUL (P5.PN),,PHI,TOR,TOR,1610612761
02:57,"McKie P.FOUL (P5.PN)
MISS Rose Free Throw 1 of 2
Raptors Rebound
Rose Free Throw 2 of 2 (6 PTS)
",0,0,0,0,2005-03-25,20401013,1,0,PHI,4,0,-3,03:09,Off Corner 3 Miss,0,MISS Rose Free Throw 1 of 2,,PHI,TOR,TOR,1610612761
02:57,"McKie P.FOUL (P5.PN)
MISS Rose Free Throw 1 of 2
Raptors Rebound
Rose Free Throw 2 of 2 (6 PTS)
",0,0,0,0,2005-03-25,20401013,1,0,PHI,4,0,-3,03:09,Off Corner 3 Miss,0,Raptors Rebound,,PHI,TOR,TOR,1610612761
02:57,"McKie P.FOUL (P5.PN)
MISS Rose Free Throw 1 of 2
Raptors Rebound
Rose Free Throw 2 of 2 (6 PTS)
",0,0,0,0,2005-03-25,20401013,1,0,PHI,4,0,-3,03:09,Off Corner 3 Miss,0,Rose Free Throw 2 of 2 (6 PTS),,PHI,TOR,TOR,1610612761
03:20,"Webber BLOCK (1 BLK): MISS Bosh 7' Jump Shot
Iguodala REBOUND (Off:1 Def:4)
",1,0,0,0,2005-03-25,20401013,0,0,PHI,4,0,-3,03:42,Off Long Mid-Range Miss,0,Webber BLOCK (1 BLK): MISS Bosh 7' Jump Shot,,PHI,TOR,TOR,1610612761
03:20,"Webber BLOCK (1 BLK): MISS Bosh 7' Jump Shot
Iguodala REBOUND (Off:1 Def:4)
",1,0,0,0,2005-03-25,20401013,0,0,PHI,4,0,-3,03:42,Off Long Mid-Range Miss,0,Iguodala REBOUND (Off:1 Def:4),,PHI,TOR,TOR,1610612761
03:50,"Iverson STEAL (1 STL): Marshall Bad Pass Turnover (P1.T14)
",0,0,0,0,2005-03-25,20401013,0,0,PHI,4,0,-3,04:09,Off FT Make,1,Iverson STEAL (1 STL): Marshall Bad Pass Turnover (P1.T14),,PHI,TOR,TOR,1610612761
04:27,"Iguodala S.FOUL (P2.PN)
Bosh Free Throw 1 of 2 (23 PTS)
Bosh Free Throw 2 of 2 (24 PTS)
",0,0,0,0,2005-03-25,20401013,0,0,PHI,4,1,-3,04:38,Off At Rim Miss,0,Iguodala S.FOUL (P2.PN),,PHI,TOR,TOR,1610612761
04:27,"Iguodala S.FOUL (P2.PN)
Bosh Free Throw 1 of 2 (23 PTS)
Bosh Free Throw 2 of 2 (24 PTS)
",0,0,0,0,2005-03-25,20401013,0,0,PHI,4,1,-3,04:38,Off At Rim Miss,0,Bosh Free Throw 1 of 2 (23 PTS),,PHI,TOR,TOR,1610612761
04:27,"Iguodala S.FOUL (P2.PN)
Bosh Free Throw 1 of 2 (23 PTS)
Bosh Free Throw 2 of 2 (24 PTS)
",0,0,0,0,2005-03-25,20401013,0,0,PHI,4,1,-3,04:38,Off At Rim Miss,0,Bosh Free Throw 2 of 2 (24 PTS),,PHI,TOR,TOR,1610612761
04:55,"MISS Bosh  Layup
Davis REBOUND (Off:0 Def:3)
",1,0,0,0,2005-03-25,20401013,0,0,PHI,4,0,-3,05:04,Off Long Mid-Range Miss,0,MISS Bosh  Layup,,PHI,TOR,TOR,1610612761
04:55,"MISS Bosh  Layup
Davis REBOUND (Off:0 Def:3)
",1,0,0,0,2005-03-25,20401013,0,0,PHI,4,0,-3,05:04,Off Long Mid-Range Miss,0,Davis REBOUND (Off:0 Def:3),,PHI,TOR,TOR,1610612761
05:21,"Palacio 16' Jump Shot (7 PTS)
",1,1,0,0,2005-03-25,20401013,0,0,PHI,4,0,-5,05:40,Off Long Mid-Range Make,0,Palacio 16' Jump Shot (7 PTS),,PHI,TOR,TOR,1610612761
05:57,"McKie P.FOUL (P4.T4)
Bosh 15' Turnaround Jump Shot (22 PTS) (Rose 4 AST)
",1,1,0,0,2005-03-25,20401013,0,0,PHI,4,0,-5,06:11,Off Short Mid-Range Miss,0,McKie P.FOUL (P4.T4),,PHI,TOR,TOR,1610612761
05:57,"McKie P.FOUL (P4.T4)
Bosh 15' Turnaround Jump Shot (22 PTS) (Rose 4 AST)
",1,1,0,0,2005-03-25,20401013,0,0,PHI,4,0,-5,06:11,Off Short Mid-Range Miss,0,Bosh 15' Turnaround Jump Shot (22 PTS) (Rose 4 AST),,PHI,TOR,TOR,1610612761
06:32,"Webber STEAL (1 STL): Bosh Lost Ball Turnover (P3.T13)
",0,0,0,0,2005-03-25,20401013,0,0,PHI,4,0,-5,06:47,Off Dead Ball,1,Webber STEAL (1 STL): Bosh Lost Ball Turnover (P3.T13),,PHI,TOR,TOR,1610612761
07:05,"Palacio  Reverse Layup (5 PTS) (Bosh 3 AST)
",1,1,0,0,2005-03-25,20401013,0,0,PHI,4,0,-7,07:20,Off Long Mid-Range Make,0,Palacio  Reverse Layup (5 PTS) (Bosh 3 AST),,PHI,TOR,TOR,1610612761
07:35,"MISS Marshall  3PT Jump Shot
76ERS Rebound
",0,0,1,0,2005-03-25,20401013,0,0,PHI,4,0,-5,07:42,Off At Rim Miss,0,MISS Marshall  3PT Jump Shot,,PHI,TOR,TOR,1610612761
07:35,"MISS Marshall  3PT Jump Shot
76ERS Rebound
",0,0,1,0,2005-03-25,20401013,0,0,PHI,4,0,-5,07:42,Off At Rim Miss,0,76ERS Rebound,,PHI,TOR,TOR,1610612761
07:52,"MISS Williams 9' Jump Shot
Davis REBOUND (Off:0 Def:2)
",1,0,0,0,2005-03-25,20401013,0,0,PHI,4,0,-5,08:11,Off Arc 3 Miss,0,MISS Williams 9' Jump Shot,,PHI,TOR,TOR,1610612761
07:52,"MISS Williams 9' Jump Shot
Davis REBOUND (Off:0 Def:2)
",1,0,0,0,2005-03-25,20401013,0,0,PHI,4,0,-5,08:11,Off Arc 3 Miss,0,Davis REBOUND (Off:0 Def:2),,PHI,TOR,TOR,1610612761
08:25,"Salmons STEAL (2 STL): Palacio Bad Pass Turnover (P1.T12)
",0,0,0,0,2005-03-25,20401013,0,0,PHI,4,0,-5,08:31,Off Steal,1,Salmons STEAL (2 STL): Palacio Bad Pass Turnover (P1.T12),,PHI,TOR,TOR,1610612761
08:54,"McKie P.FOUL (P3.T3)
Marshall  3PT Jump Shot (26 PTS) (Palacio 1 AST)
",0,0,1,1,2005-03-25,20401013,0,0,PHI,4,0,-8,09:23,Off Timeout,0,McKie P.FOUL (P3.T3),,PHI,TOR,TOR,1610612761
08:54,"McKie P.FOUL (P3.T3)
Marshall  3PT Jump Shot (26 PTS) (Palacio 1 AST)
",0,0,1,1,2005-03-25,20401013,0,0,PHI,4,0,-8,09:23,Off Timeout,0,Marshall  3PT Jump Shot (26 PTS) (Palacio 1 AST),,PHI,TOR,TOR,1610612761
09:46,"MISS Marshall 15' Jump Shot
Bosh REBOUND (Off:4 Def:11)
MISS Marshall 24' 3PT Jump Shot
Davis REBOUND (Off:0 Def:1)
",1,0,1,0,2005-03-25,20401013,0,1,PHI,4,0,-5,10:16,Off Long Mid-Range Make,0,MISS Marshall 15' Jump Shot,,PHI,TOR,TOR,1610612761
09:46,"MISS Marshall 15' Jump Shot
Bosh REBOUND (Off:4 Def:11)
MISS Marshall 24' 3PT Jump Shot
Davis REBOUND (Off:0 Def:1)
",1,0,1,0,2005-03-25,20401013,0,1,PHI,4,0,-5,10:16,Off Long Mid-Range Make,0,Bosh REBOUND (Off:4 Def:11),,PHI,TOR,TOR,1610612761
09:46,"MISS Marshall 15' Jump Shot
Bosh REBOUND (Off:4 Def:11)
MISS Marshall 24' 3PT Jump Shot
Davis REBOUND (Off:0 Def:1)
",1,0,1,0,2005-03-25,20401013,0,1,PHI,4,0,-5,10:16,Off Long Mid-Range Make,0,MISS Marshall 24' 3PT Jump Shot,,PHI,TOR,TOR,1610612761
09:46,"MISS Marshall 15' Jump Shot
Bosh REBOUND (Off:4 Def:11)
MISS Marshall 24' 3PT Jump Shot
Davis REBOUND (Off:0 Def:1)
",1,0,1,0,2005-03-25,20401013,0,1,PHI,4,0,-5,10:16,Off Long Mid-Range Make,0,Davis REBOUND (Off:0 Def:1),,PHI,TOR,TOR,1610612761
10:28,"MISS Marshall 26' 3PT Jump Shot
Palacio REBOUND (Off:1 Def:0)
Salmons S.FOUL (P3.T2)
Marshall Free Throw 1 of 2 (23 PTS)
MISS Marshall Free Throw 2 of 2
Webber REBOUND (Off:0 Def:4)
",0,0,1,0,2005-03-25,20401013,0,1,PHI,4,1,-4,10:51,Off At Rim Make,0,MISS Marshall 26' 3PT Jump Shot,,PHI,TOR,TOR,1610612761
10:28,"MISS Marshall 26' 3PT Jump Shot
Palacio REBOUND (Off:1 Def:0)
Salmons S.FOUL (P3.T2)
Marshall Free Throw 1 of 2 (23 PTS)
MISS Marshall Free Throw 2 of 2
Webber REBOUND (Off:0 Def:4)
",0,0,1,0,2005-03-25,20401013,0,1,PHI,4,1,-4,10:51,Off At Rim Make,0,Palacio REBOUND (Off:1 Def:0),,PHI,TOR,TOR,1610612761
10:28,"MISS Marshall 26' 3PT Jump Shot
Palacio REBOUND (Off:1 Def:0)
Salmons S.FOUL (P3.T2)
Marshall Free Throw 1 of 2 (23 PTS)
MISS Marshall Free Throw 2 of 2
Webber REBOUND (Off:0 Def:4)
",0,0,1,0,2005-03-25,20401013,0,1,PHI,4,1,-4,10:51,Off At Rim Make,0,Salmons S.FOUL (P3.T2),,PHI,TOR,TOR,1610612761
10:28,"MISS Marshall 26' 3PT Jump Shot
Palacio REBOUND (Off:1 Def:0)
Salmons S.FOUL (P3.T2)
Marshall Free Throw 1 of 2 (23 PTS)
MISS Marshall Free Throw 2 of 2
Webber REBOUND (Off:0 Def:4)
",0,0,1,0,2005-03-25,20401013,0,1,PHI,4,1,-4,10:51,Off At Rim Make,0,Marshall Free Throw 1 of 2 (23 PTS),,PHI,TOR,TOR,1610612761
10:28,"MISS Marshall 26' 3PT Jump Shot
Palacio REBOUND (Off:1 Def:0)
Salmons S.FOUL (P3.T2)
Marshall Free Throw 1 of 2 (23 PTS)
MISS Marshall Free Throw 2 of 2
Webber REBOUND (Off:0 Def:4)
",0,0,1,0,2005-03-25,20401013,0,1,PHI,4,1,-4,10:51,Off At Rim Make,0,MISS Marshall Free Throw 2 of 2,,PHI,TOR,TOR,1610612761
10:28,"MISS Marshall 26' 3PT Jump Shot
Palacio REBOUND (Off:1 Def:0)
Salmons S.FOUL (P3.T2)
Marshall Free Throw 1 of 2 (23 PTS)
MISS Marshall Free Throw 2 of 2
Webber REBOUND (Off:0 Def:4)
",0,0,1,0,2005-03-25,20401013,0,1,PHI,4,1,-4,10:51,Off At Rim Make,0,Webber REBOUND (Off:0 Def:4),,PHI,TOR,TOR,1610612761
11:04,"McKie P.FOUL (P2.T1)
Palacio Free Throw 1 of 2 (3 PTS)
MISS Palacio Free Throw 2 of 2
Webber REBOUND (Off:0 Def:3)
",0,0,0,0,2005-03-25,20401013,1,0,PHI,4,0,-3,11:09,Off Arc 3 Miss,0,McKie P.FOUL (P2.T1),,PHI,TOR,TOR,1610612761
11:04,"McKie P.FOUL (P2.T1)
Palacio Free Throw 1 of 2 (3 PTS)
MISS Palacio Free Throw 2 of 2
Webber REBOUND (Off:0 Def:3)
",0,0,0,0,2005-03-25,20401013,1,0,PHI,4,0,-3,11:09,Off Arc 3 Miss,0,Palacio Free Throw 1 of 2 (3 PTS),,PHI,TOR,TOR,1610612761
11:04,"McKie P.FOUL (P2.T1)
Palacio Free Throw 1 of 2 (3 PTS)
MISS Palacio Free Throw 2 of 2
Webber REBOUND (Off:0 Def:3)
",0,0,0,0,2005-03-25,20401013,1,0,PHI,4,0,-3,11:09,Off Arc 3 Miss,0,MISS Palacio Free Throw 2 of 2,,PHI,TOR,TOR,1610612761
11:04,"McKie P.FOUL (P2.T1)
Palacio Free Throw 1 of 2 (3 PTS)
MISS Palacio Free Throw 2 of 2
Webber REBOUND (Off:0 Def:3)
",0,0,0,0,2005-03-25,20401013,1,0,PHI,4,0,-3,11:09,Off Arc 3 Miss,0,Webber REBOUND (Off:0 Def:3),,PHI,TOR,TOR,1610612761
11:19,"MISS Bonner 26' 3PT Jump Shot
McKie REBOUND (Off:0 Def:4)
",0,0,1,0,2005-03-25,20401013,0,0,PHI,4,0,-3,11:29,Off At Rim Miss,0,MISS Bonner 26' 3PT Jump Shot,,PHI,TOR,TOR,1610612761
11:19,"MISS Bonner 26' 3PT Jump Shot
McKie REBOUND (Off:0 Def:4)
",0,0,1,0,2005-03-25,20401013,0,0,PHI,4,0,-3,11:29,Off At Rim Miss,0,McKie REBOUND (Off:0 Def:4),,PHI,TOR,TOR,1610612761
00:00,"Iverson P.FOUL (P1.T3)
MISS Marshall 26' 3PT Jump Shot
Peterson REBOUND (Off:1 Def:0)
",0,0,1,0,2005-03-25,20401013,0,1,PHI,3,0,-3,00:16,Off Corner 3 Miss,0,Iverson P.FOUL (P1.T3),,PHI,TOR,TOR,1610612761
00:00,"Iverson P.FOUL (P1.T3)
MISS Marshall 26' 3PT Jump Shot
Peterson REBOUND (Off:1 Def:0)
",0,0,1,0,2005-03-25,20401013,0,1,PHI,3,0,-3,00:16,Off Corner 3 Miss,0,MISS Marshall 26' 3PT Jump Shot,,PHI,TOR,TOR,1610612761
00:00,"Iverson P.FOUL (P1.T3)
MISS Marshall 26' 3PT Jump Shot
Peterson REBOUND (Off:1 Def:0)
",0,0,1,0,2005-03-25,20401013,0,1,PHI,3,0,-3,00:16,Off Corner 3 Miss,0,Peterson REBOUND (Off:1 Def:0),,PHI,TOR,TOR,1610612761
