index,ENDTIME,EVENTS,FG2A,FG2M,FG3A,FG3M,GAMEDATE,GAMEID,NONSHOOTINGFOULSTHATRESULTEDINFTS,OFFENSIVEREBOUNDS,OPPONENT,PERIOD,SHOOTINGFOULSDRAWN,STARTSCOREDIFFERENTIAL,STARTTIME,STARTTYPE,TURNOVERS,DESCRIPTION,URL,HTM,VTM,team,TEAM_ID,Year,start_seconds,end_seconds,mid_seconds,opp_players_on,players_on,season
292341,08:04,"MISS Shumpert 2' Reverse Layup
Noah REBOUND (Off:2 Def:8)
",1,0,0,0,2013-10-31,21300018,0,0,CHI,3,0,-5,08:09,Off At Rim Miss,0,Noah REBOUND (Off:2 Def:8),,CHI,NYK,NYK,1610612752,2013,1671,1676,1673.5,2199|2546|101109|200745|202697,2430|2736|201149|201565|202710,2013-14
292345,09:44,"Felton 13' Fadeaway Jumper (10 PTS)
Boozer S.FOUL (P2.T1)
MISS Felton Free Throw 1 of 1
Chandler REBOUND (Off:4 Def:6)
MISS Anthony 26' 3PT Jump Shot
Deng REBOUND (Off:1 Def:2)
",1,1,1,0,2013-10-31,21300018,0,1,CHI,3,1,-9,10:10,Off Timeout,0,Boozer S.FOUL (P2.T1),,CHI,NYK,NYK,1610612752,2013,1550,1576,1563.0,2199|2546|101109|200745|202697,2430|2736|201149|201565|202710,2013-14
292342,08:27,"Bargnani 19' Jump Shot (4 PTS) (Chandler 1 AST)
",1,1,0,0,2013-10-31,21300018,0,0,CHI,3,0,-7,08:43,Off Arc 3 Miss,0,Bargnani 19' Jump Shot (4 PTS) (Chandler 1 AST),,CHI,NYK,NYK,1610612752,2013,1637,1653,1645.0,2199|2546|101109|200745|202697,2430|2736|201149|201565|202710,2013-14
292343,09:07,"Chandler 2' Slam Dunk (6 PTS) (Felton 2 AST)
",1,1,0,0,2013-10-31,21300018,0,0,CHI,3,0,-9,09:22,Off Long Mid-Range Make,0,Chandler 2' Slam Dunk (6 PTS) (Felton 2 AST),,CHI,NYK,NYK,1610612752,2013,1598,1613,1605.5,2199|2546|101109|200745|202697,2430|2736|201149|201565|202710,2013-14
292344,09:44,"Felton 13' Fadeaway Jumper (10 PTS)
Boozer S.FOUL (P2.T1)
MISS Felton Free Throw 1 of 1
Chandler REBOUND (Off:4 Def:6)
MISS Anthony 26' 3PT Jump Shot
Deng REBOUND (Off:1 Def:2)
",1,1,1,0,2013-10-31,21300018,0,1,CHI,3,1,-9,10:10,Off Timeout,0,Felton 13' Fadeaway Jumper (10 PTS),,CHI,NYK,NYK,1610612752,2013,1550,1576,1563.0,2199|2546|101109|200745|202697,2430|2736|201149|201565|202710,2013-14
292325,04:27,"Anthony 17' Jump Shot (13 PTS) (Felton 5 AST)
",1,1,0,0,2013-10-31,21300018,0,0,CHI,3,0,-13,04:47,Off Arc 3 Make,0,Anthony 17' Jump Shot (13 PTS) (Felton 5 AST),,CHI,NYK,NYK,1610612752,2013,1873,1893,1883.0,1897|2199|2546|101109|200745,2430|2736|201149|201565|202710,2013-14
292347,09:44,"Felton 13' Fadeaway Jumper (10 PTS)
Boozer S.FOUL (P2.T1)
MISS Felton Free Throw 1 of 1
Chandler REBOUND (Off:4 Def:6)
MISS Anthony 26' 3PT Jump Shot
Deng REBOUND (Off:1 Def:2)
",1,1,1,0,2013-10-31,21300018,0,1,CHI,3,1,-9,10:10,Off Timeout,0,Chandler REBOUND (Off:4 Def:6),,CHI,NYK,NYK,1610612752,2013,1550,1576,1563.0,2199|2546|101109|200745|202697,2430|2736|201149|201565|202710,2013-14
292349,09:44,"Felton 13' Fadeaway Jumper (10 PTS)
Boozer S.FOUL (P2.T1)
MISS Felton Free Throw 1 of 1
Chandler REBOUND (Off:4 Def:6)
MISS Anthony 26' 3PT Jump Shot
Deng REBOUND (Off:1 Def:2)
",1,1,1,0,2013-10-31,21300018,0,1,CHI,3,1,-9,10:10,Off Timeout,0,Deng REBOUND (Off:1 Def:2),,CHI,NYK,NYK,1610612752,2013,1550,1576,1563.0,2199|2546|101109|200745|202697,2430|2736|201149|201565|202710,2013-14
292350,10:23,"MISS Chandler 17' Jump Shot
Butler REBOUND (Off:0 Def:5)
",1,0,0,0,2013-10-31,21300018,0,0,CHI,3,0,-6,10:51,Off Arc 3 Make,0,MISS Chandler 17' Jump Shot,,CHI,NYK,NYK,1610612752,2013,1509,1537,1523.0,2199|2546|101109|200745|202697,2430|2736|201149|201565|202710,2013-14
292340,08:04,"MISS Shumpert 2' Reverse Layup
Noah REBOUND (Off:2 Def:8)
",1,0,0,0,2013-10-31,21300018,0,0,CHI,3,0,-5,08:09,Off At Rim Miss,0,MISS Shumpert 2' Reverse Layup,,CHI,NYK,NYK,1610612752,2013,1671,1676,1673.5,2199|2546|101109|200745|202697,2430|2736|201149|201565|202710,2013-14
