index,ENDTIME,EVENTS,FG2A,FG2M,FG3A,FG3M,GAMEDATE,GAMEID,NONSHOOTINGFOULSTHATRESULTEDINFTS,OFFENSIVEREBOUNDS,OPPONENT,PERIOD,SHOOTINGFOULSDRAWN,STARTSCOREDIFFERENTIAL,STARTTIME,STARTTYPE,TURNOVERS,DESCRIPTION,URL,HTM,VTM,team,TEAM_ID,Year,start_seconds,end_seconds,mid_seconds,opp_players_on,players_on,season
293817,07:01,"Anthony Bad Pass Turnover (P2.T5): Sullinger STEAL (1 STL)
",0,0,0,0,2013-12-08,21300299,0,0,BOS,2,0,-17,07:09,Off Arc 3 Miss,1,Anthony Bad Pass Turnover (P2.T5): Sullinger STEAL (1 STL),,NYK,BOS,NYK,1610612752,2013,1011,1019,1015.0,1897|2405|2546|2747|203143,2222|101138|201584|202348|203096,2013-14
293823,07:37,"Humphries P.FOUL (P1.T4)
MISS World Peace 2' Layup
KNICKS Rebound
MISS Anthony 5' Jump Shot
Bass REBOUND (Off:1 Def:4)
",2,0,0,0,2013-12-08,21300299,0,1,BOS,2,0,-19,08:06,Off Steal,0,Bass REBOUND (Off:1 Def:4),,NYK,BOS,NYK,1610612752,2013,954,983,968.5,1897|2405|2546|2747|203143,2222|101138|201584|203096|203515,2013-14
293818,07:28,"Stoudemire  Slam Dunk (7 PTS) (Prigioni 1 AST)
",1,1,0,0,2013-12-08,21300299,0,0,BOS,2,0,-19,07:35,Off Steal,0,Stoudemire  Slam Dunk (7 PTS) (Prigioni 1 AST),,NYK,BOS,NYK,1610612752,2013,985,992,988.5,1897|2405|2546|2747|203143,2222|101138|201584|203096|203515,2013-14
293819,07:37,"Humphries P.FOUL (P1.T4)
MISS World Peace 2' Layup
KNICKS Rebound
MISS Anthony 5' Jump Shot
Bass REBOUND (Off:1 Def:4)
",2,0,0,0,2013-12-08,21300299,0,1,BOS,2,0,-19,08:06,Off Steal,0,Humphries P.FOUL (P1.T4),,NYK,BOS,NYK,1610612752,2013,954,983,968.5,1897|2405|2546|2747|203143,2222|101138|201584|203096|203515,2013-14
293820,07:37,"Humphries P.FOUL (P1.T4)
MISS World Peace 2' Layup
KNICKS Rebound
MISS Anthony 5' Jump Shot
Bass REBOUND (Off:1 Def:4)
",2,0,0,0,2013-12-08,21300299,0,1,BOS,2,0,-19,08:06,Off Steal,0,MISS World Peace 2' Layup,,NYK,BOS,NYK,1610612752,2013,954,983,968.5,1897|2405|2546|2747|203143,2222|101138|201584|203096|203515,2013-14
293821,07:37,"Humphries P.FOUL (P1.T4)
MISS World Peace 2' Layup
KNICKS Rebound
MISS Anthony 5' Jump Shot
Bass REBOUND (Off:1 Def:4)
",2,0,0,0,2013-12-08,21300299,0,1,BOS,2,0,-19,08:06,Off Steal,0,KNICKS Rebound,,NYK,BOS,NYK,1610612752,2013,954,983,968.5,1897|2405|2546|2747|203143,2222|101138|201584|203096|203515,2013-14
293816,06:29,"Sullinger P.FOUL (P1.PN)
Stoudemire Free Throw 1 of 2 (8 PTS)
Stoudemire Free Throw 2 of 2 (9 PTS)
",0,0,0,0,2013-12-08,21300299,1,0,BOS,2,0,-19,06:52,Off Short Mid-Range Make,0,Stoudemire Free Throw 2 of 2 (9 PTS),,NYK,BOS,NYK,1610612752,2013,1028,1051,1039.5,1897|2405|2546|2747|203143,2222|101138|201584|202348|203096,2013-14
293822,07:37,"Humphries P.FOUL (P1.T4)
MISS World Peace 2' Layup
KNICKS Rebound
MISS Anthony 5' Jump Shot
Bass REBOUND (Off:1 Def:4)
",2,0,0,0,2013-12-08,21300299,0,1,BOS,2,0,-19,08:06,Off Steal,0,MISS Anthony 5' Jump Shot,,NYK,BOS,NYK,1610612752,2013,954,983,968.5,1897|2405|2546|2747|203143,2222|101138|201584|203096|203515,2013-14
293824,08:30,"World Peace 1' Driving Slam Dunk (4 PTS)
",1,1,0,0,2013-12-08,21300299,0,0,BOS,2,0,-21,08:35,Off Steal,0,World Peace 1' Driving Slam Dunk (4 PTS),,NYK,BOS,NYK,1610612752,2013,925,930,927.5,1897|2405|2747|202697|203143,2222|2743|201584|203515|203543,2013-14
293829,08:48,"MISS Stoudemire 6' Hook Shot
Prigioni REBOUND (Off:1 Def:0)
MISS World Peace 24' 3PT Jump Shot
Shumpert REBOUND (Off:1 Def:1)
Lee P.FOUL (P1.T2)
Faverani S.FOUL (P2.T3)
MISS Stoudemire Free Throw 1 of 2
KNICKS Rebound
Stoudemire Free Throw 2 of 2 (5 PTS)
",1,0,1,0,2013-12-08,21300299,0,2,BOS,2,1,-22,09:22,Off Timeout,0,Lee P.FOUL (P1.T2),,NYK,BOS,NYK,1610612752,2013,878,912,895.0,1897|2405|2747|202697|203143,2222|2743|201584|203515|203543,2013-14
