ENDTIME,EVENTS,FG2A,FG2M,FG3A,FG3M,GAMEDATE,GAMEID,NONSHOOTINGFOULSTHATRESULTEDINFTS,OFFENSIVEREBOUNDS,OPPONENT,PERIOD,SHOOTINGFOULSDRAWN,STARTSCOREDIFFERENTIAL,STARTTIME,STARTTYPE,TURNOVERS,DESCRIPTION,URL,HTM,VTM,team,TEAM_ID,Year,start_seconds,end_seconds,mid_seconds,players_on,opp_players_on,season
07:19,"Bosh S.FOUL (P1.T2)
MISS Douglas-Roberts Free Throw 1 of 2
Bobcats Rebound
Douglas-Roberts Free Throw 2 of 2 (1 PTS)
",0,0,0,0,2014-04-20,41300111,0,0,MIA,2,1,3,07:23,Off Arc 3 Miss,0,Bobcats Rebound,,MIA,CHA,CHA,1610612766,2014,997,1001,999.0,2744|201177|201604|202390|202689,951|2365|2547|2548|202708,2013-14
06:39,"Henderson 16' Jump Shot (4 PTS)
",1,1,0,0,2014-04-20,41300111,0,0,MIA,1,0,5,06:56,Off Steal,0,Henderson 16' Jump Shot (4 PTS),,MIA,CHA,CHA,1610612766,2014,304,321,312.5,2744|201177|201945|202689|203077,2544|2547|2548|2617|202708,2013-14
09:12,"Lewis P.FOUL (P1.T1)
MISS Ridnour 24' 3PT Jump Shot
Biyombo REBOUND (Off:1 Def:1)
Andersen BLOCK (1 BLK): MISS Neal 2' Driving Layup
Bobcats Rebound
MISS Ridnour 20' Jump Shot
Bosh REBOUND (Off:0 Def:1)
",2,0,1,0,2014-04-20,41300111,0,2,MIA,2,0,2,09:57,Off At Rim Make,0,Andersen BLOCK (1 BLK): MISS Neal 2' Driving Layup,,MIA,CHA,CHA,1610612766,2014,843,888,865.5,2557|201177|201604|202390|202687,951|2365|2547|2548|202708,2013-14
00:00,"MISS Ridnour 20' Jump Shot
HEAT Rebound
",1,0,0,0,2014-04-20,41300111,0,0,MIA,1,0,4,00:04,Off FT Make,0,HEAT Rebound,,MIA,CHA,CHA,1610612766,2014,716,720,718.0,2557|201604|202390|202687|203469,951|1740|2365|2544|202708,2013-14
00:00,"MISS Ridnour 20' Jump Shot
HEAT Rebound
",1,0,0,0,2014-04-20,41300111,0,0,MIA,1,0,4,00:04,Off FT Make,0,MISS Ridnour 20' Jump Shot,,MIA,CHA,CHA,1610612766,2014,716,720,718.0,2557|201604|202390|202687|203469,951|1740|2365|2544|202708,2013-14
11:23,"Ridnour Traveling Turnover (P1.T5)
",0,0,0,0,2014-04-20,41300111,0,0,MIA,2,0,4,11:36,Off Short Mid-Range Miss,1,Ridnour Traveling Turnover (P1.T5),,MIA,CHA,CHA,1610612766,2014,744,757,750.5,2557|201177|201604|202390|202687,951|1740|2365|2548|202708,2013-14
10:47,"McRoberts 25' 3PT Jump Shot (5 PTS) (Ridnour 1 AST)
",0,0,1,1,2014-04-20,41300111,0,0,MIA,2,0,1,11:11,Off Corner 3 Make,0,McRoberts 25' 3PT Jump Shot (5 PTS) (Ridnour 1 AST),,MIA,CHA,CHA,1610612766,2014,769,793,781.0,2557|201177|201604|202390|202687,951|1740|2365|2548|202708,2013-14
10:15,"MISS Douglas-Roberts  3PT Jump Shot
Lewis REBOUND (Off:0 Def:2)
",0,0,1,0,2014-04-20,41300111,0,0,MIA,2,0,4,10:31,Off Dead Ball,0,Lewis REBOUND (Off:0 Def:2),,MIA,CHA,CHA,1610612766,2014,809,825,817.0,2557|201177|201604|202390|202687,951|1740|2365|2548|202708,2013-14
10:15,"MISS Douglas-Roberts  3PT Jump Shot
Lewis REBOUND (Off:0 Def:2)
",0,0,1,0,2014-04-20,41300111,0,0,MIA,2,0,4,10:31,Off Dead Ball,0,MISS Douglas-Roberts  3PT Jump Shot,,MIA,CHA,CHA,1610612766,2014,809,825,817.0,2557|201177|201604|202390|202687,951|1740|2365|2548|202708,2013-14
09:12,"Lewis P.FOUL (P1.T1)
MISS Ridnour 24' 3PT Jump Shot
Biyombo REBOUND (Off:1 Def:1)
Andersen BLOCK (1 BLK): MISS Neal 2' Driving Layup
Bobcats Rebound
MISS Ridnour 20' Jump Shot
Bosh REBOUND (Off:0 Def:1)
",2,0,1,0,2014-04-20,41300111,0,2,MIA,2,0,2,09:57,Off At Rim Make,0,Bosh REBOUND (Off:0 Def:1),,MIA,CHA,CHA,1610612766,2014,843,888,865.5,2557|201177|201604|202390|202687,951|2365|2547|2548|202708,2013-14
