index,ENDTIME,EVENTS,FG2A,FG2M,FG3A,FG3M,GAMEDATE,GAMEID,NONSHOOTINGFOULSTHATRESULTEDINFTS,OFFENSIVEREBOUNDS,OPPONENT,PERIOD,SHOOTINGFOULSDRAWN,STARTSCOREDIFFERENTIAL,STARTTIME,STARTTYPE,TURNOVERS,DESCRIPTION,URL,HTM,VTM,team,TEAM_ID,Year,start_seconds,end_seconds,mid_seconds,opp_players_on,players_on,season
197061,07:18,"MISS Marc Morris 26' 3PT Jump Shot
McConnell REBOUND (Off:0 Def:4)
",0,0,1,0,2016-12-11,21600356,0,0,PHI,2,0,-19,07:27,Off Long Mid-Range Miss,0,McConnell REBOUND (Off:0 Def:4),https://videos.nba.com/nba/pbp/media/2016/12/11/0021600356/137/76052e77-2ce2-78b4-69de-b54be0c3fc8a_960x540.mp4,DET,PHI,DET,1610612765,2016,993,1002,997.5,202694|202704|202720|203083|1626169,101141|201945|203138|204456|1626143,2016-17
197055,06:43,"MISS Drummond 6' Jump Shot: Okafor BLOCK (1 BLK)
Drummond REBOUND (Off:1 Def:4)
Okafor S.FOUL (P3.T2) (M.Lindsay)
MISS Drummond Free Throw 1 of 2
PISTONS Rebound
Drummond Free Throw 2 of 2 (5 PTS)
",1,0,0,0,2016-12-11,21600356,0,1,PHI,2,1,-22,06:58,Off Corner 3 Make,0,Drummond REBOUND (Off:1 Def:4),https://videos.nba.com/nba/pbp/media/2016/12/11/0021600356/140/7ca6ae87-52cb-883a-4c0b-a60e76bbb7ed_960x540.mp4,DET,PHI,DET,1610612765,2016,1022,1037,1029.5,202694|202704|202720|203083|1626169,101141|201945|203138|204456|1626143,2016-17
197056,06:43,"MISS Drummond 6' Jump Shot: Okafor BLOCK (1 BLK)
Drummond REBOUND (Off:1 Def:4)
Okafor S.FOUL (P3.T2) (M.Lindsay)
MISS Drummond Free Throw 1 of 2
PISTONS Rebound
Drummond Free Throw 2 of 2 (5 PTS)
",1,0,0,0,2016-12-11,21600356,0,1,PHI,2,1,-22,06:58,Off Corner 3 Make,0,Okafor S.FOUL (P3.T2) (M.Lindsay),,DET,PHI,DET,1610612765,2016,1022,1037,1029.5,202694|202704|202720|203083|1626169,101141|201945|203138|204456|1626143,2016-17
197057,06:43,"MISS Drummond 6' Jump Shot: Okafor BLOCK (1 BLK)
Drummond REBOUND (Off:1 Def:4)
Okafor S.FOUL (P3.T2) (M.Lindsay)
MISS Drummond Free Throw 1 of 2
PISTONS Rebound
Drummond Free Throw 2 of 2 (5 PTS)
",1,0,0,0,2016-12-11,21600356,0,1,PHI,2,1,-22,06:58,Off Corner 3 Make,0,MISS Drummond Free Throw 1 of 2,,DET,PHI,DET,1610612765,2016,1022,1037,1029.5,202694|202704|202720|203083|1626169,101141|201945|203138|204456|1626143,2016-17
197058,06:43,"MISS Drummond 6' Jump Shot: Okafor BLOCK (1 BLK)
Drummond REBOUND (Off:1 Def:4)
Okafor S.FOUL (P3.T2) (M.Lindsay)
MISS Drummond Free Throw 1 of 2
PISTONS Rebound
Drummond Free Throw 2 of 2 (5 PTS)
",1,0,0,0,2016-12-11,21600356,0,1,PHI,2,1,-22,06:58,Off Corner 3 Make,0,PISTONS Rebound,,DET,PHI,DET,1610612765,2016,1022,1037,1029.5,202694|202704|202720|203083|1626169,101141|201945|203138|204456|1626143,2016-17
197059,06:43,"MISS Drummond 6' Jump Shot: Okafor BLOCK (1 BLK)
Drummond REBOUND (Off:1 Def:4)
Okafor S.FOUL (P3.T2) (M.Lindsay)
MISS Drummond Free Throw 1 of 2
PISTONS Rebound
Drummond Free Throw 2 of 2 (5 PTS)
",1,0,0,0,2016-12-11,21600356,0,1,PHI,2,1,-22,06:58,Off Corner 3 Make,0,Drummond Free Throw 2 of 2 (5 PTS),,DET,PHI,DET,1610612765,2016,1022,1037,1029.5,202694|202704|202720|203083|1626169,101141|201945|203138|204456|1626143,2016-17
197060,07:18,"MISS Marc Morris 26' 3PT Jump Shot
McConnell REBOUND (Off:0 Def:4)
",0,0,1,0,2016-12-11,21600356,0,0,PHI,2,0,-19,07:27,Off Long Mid-Range Miss,0,MISS Marc Morris 26' 3PT Jump Shot,https://videos.nba.com/nba/pbp/media/2016/12/11/0021600356/136/c2bdf7fa-f8b1-80e8-ed7d-547b5310a032_960x540.mp4,DET,PHI,DET,1610612765,2016,993,1002,997.5,202694|202704|202720|203083|1626169,101141|201945|203138|204456|1626143,2016-17
197062,07:40,"MISS Jackson 24' 3PT Jump Shot
Thompson REBOUND (Off:1 Def:1)
",0,0,1,0,2016-12-11,21600356,0,0,PHI,2,0,-19,07:59,Off Dead Ball,0,MISS Jackson 24' 3PT Jump Shot,https://videos.nba.com/nba/pbp/media/2016/12/11/0021600356/132/aac83e06-ab90-efbf-83af-74dcb8666343_960x540.mp4,DET,PHI,DET,1610612765,2016,961,980,970.5,202694|202704|202720|203083|1626169,101141|201945|203138|204456|1626143,2016-17
197072,11:12,"MISS Johnson 27' 3PT Jump Shot
Baynes REBOUND (Off:1 Def:1)
MISS Leuer 18' Jump Shot
Luwawu-Cabarrot REBOUND (Off:0 Def:1)
",1,0,1,0,2016-12-11,21600356,0,1,PHI,2,0,-20,11:36,Off Arc 3 Miss,0,Baynes REBOUND (Off:1 Def:1),https://videos.nba.com/nba/pbp/media/2016/12/11/0021600356/99/cc818e18-f024-95f4-8e6d-e8acb57d51b7_960x540.mp4,DET,PHI,DET,1610612765,2016,744,768,756.0,202397|202694|202720|203382|1626169,203138|203457|203917|203967|1627789,2016-17
197064,08:00,"Drummond Bad Pass Turnover (P2.T7): McConnell STEAL (2 STL)
",0,0,0,0,2016-12-11,21600356,0,0,PHI,2,0,-19,08:04,Off Steal,1,Drummond Bad Pass Turnover (P2.T7): McConnell STEAL (2 STL),https://videos.nba.com/nba/pbp/media/2016/12/11/0021600356/129/3c23e030-aa7f-51fa-5801-d8d576dc1c9e_960x540.mp4,DET,PHI,DET,1610612765,2016,956,960,958.0,202694|202704|202720|203083|1626169,101141|201945|203138|204456|1626143,2016-17
197065,08:22,"Johnson 16' Pullup Jump Shot (2 PTS)
",1,1,0,0,2016-12-11,21600356,0,0,PHI,2,0,-21,08:35,Off Long Mid-Range Miss,0,Johnson 16' Pullup Jump Shot (2 PTS),https://videos.nba.com/nba/pbp/media/2016/12/11/0021600356/122/4f297cd3-c59b-d6cb-51cb-97935ba427b7_960x540.mp4,DET,PHI,DET,1610612765,2016,925,938,931.5,202694|202704|202720|203382|1626169,201945|203138|203917|203967|1626143,2016-17
197066,08:52,"Jackson 1' Layup (4 PTS) (Johnson 1 AST)
",1,1,0,0,2016-12-11,21600356,0,0,PHI,2,0,-23,08:58,Off Steal,0,Jackson 1' Layup (4 PTS) (Johnson 1 AST),https://videos.nba.com/nba/pbp/media/2016/12/11/0021600356/119/9cc954cd-1ef8-3a46-d02a-8893d4c04d88_960x540.mp4,DET,PHI,DET,1610612765,2016,902,908,905.0,202694|202704|202720|203382|1626169,201945|203138|203917|203967|1626143,2016-17
197067,09:06,"MISS Jackson 10' Floating Jump Shot
Stauskas REBOUND (Off:0 Def:1)
",1,0,0,0,2016-12-11,21600356,0,0,PHI,2,0,-23,09:18,Off FT Make,0,MISS Jackson 10' Floating Jump Shot,https://videos.nba.com/nba/pbp/media/2016/12/11/0021600356/116/f6144d0e-ff97-34ca-868f-7c7930bcf757_960x540.mp4,DET,PHI,DET,1610612765,2016,882,894,888.0,202694|202704|202720|203382|1626169,201945|203138|203917|203967|1626143,2016-17
197068,09:06,"MISS Jackson 10' Floating Jump Shot
Stauskas REBOUND (Off:0 Def:1)
",1,0,0,0,2016-12-11,21600356,0,0,PHI,2,0,-23,09:18,Off FT Make,0,Stauskas REBOUND (Off:0 Def:1),https://videos.nba.com/nba/pbp/media/2016/12/11/0021600356/117/74ae7ef9-6dec-ab01-d827-b56e6190c69d_960x540.mp4,DET,PHI,DET,1610612765,2016,882,894,888.0,202694|202704|202720|203382|1626169,201945|203138|203917|203967|1626143,2016-17
197069,09:45,"Marc Morris 9' Jump Shot (6 PTS)
",1,1,0,0,2016-12-11,21600356,0,0,PHI,2,0,-23,10:02,Off Corner 3 Make,0,Marc Morris 9' Jump Shot (6 PTS),https://videos.nba.com/nba/pbp/media/2016/12/11/0021600356/105/3a34bb64-77c5-ac05-2c49-64ec6ad4222c_960x540.mp4,DET,PHI,DET,1610612765,2016,838,855,846.5,202397|202694|202720|203382|1626169,203138|203457|203917|203967|1627789,2016-17
197070,10:23,"Smith 6' Driving Floating Jump Shot (2 PTS)
",1,1,0,0,2016-12-11,21600356,0,0,PHI,2,0,-22,10:51,Off At Rim Make,0,Smith 6' Driving Floating Jump Shot (2 PTS),https://videos.nba.com/nba/pbp/media/2016/12/11/0021600356/103/470c1b62-71a4-1628-8caf-863fe9b728b9_960x540.mp4,DET,PHI,DET,1610612765,2016,789,817,803.0,202397|202694|202720|203382|1626169,203138|203457|203917|203967|1627789,2016-17
197071,11:12,"MISS Johnson 27' 3PT Jump Shot
Baynes REBOUND (Off:1 Def:1)
MISS Leuer 18' Jump Shot
Luwawu-Cabarrot REBOUND (Off:0 Def:1)
",1,0,1,0,2016-12-11,21600356,0,1,PHI,2,0,-20,11:36,Off Arc 3 Miss,0,MISS Johnson 27' 3PT Jump Shot,https://videos.nba.com/nba/pbp/media/2016/12/11/0021600356/98/62dfc868-bd2d-3e60-7914-2c9df7c0b0ec_960x540.mp4,DET,PHI,DET,1610612765,2016,744,768,756.0,202397|202694|202720|203382|1626169,203138|203457|203917|203967|1627789,2016-17
