index,ENDTIME,EVENTS,FG2A,FG2M,FG3A,FG3M,GAMEDATE,GAMEID,NONSHOOTINGFOULSTHATRESULTEDINFTS,OFFENSIVEREBOUNDS,OPPONENT,PERIOD,SHOOTINGFOULSDRAWN,STARTSCOREDIFFERENTIAL,STARTTIME,STARTTYPE,TURNOVERS,DESCRIPTION,URL,HTM,VTM,team,TEAM_ID,Year,start_seconds,end_seconds,mid_seconds,opp_players_on,players_on,season,actionNumber,match_confidence
59701,11:08,"MISS Salaün 30' 3PT Step Back Jump Shot
HORNETS Rebound
HORNETS Turnover: Shot Clock (T#1)
",0,0,1,0,2024-11-29,22400040,0,0,NYK,1,0,-2,11:33,Off Short Mid-Range Make,1,HORNETS Rebound,,CHA,NYK,CHA,1610612766,2024,27.0,52.0,39.5,203995|1630182|1631217|1641706|1642275,1626157|1628384|1628404|1628969|1628973,2024-25,,
59702,11:08,"MISS Salaün 30' 3PT Step Back Jump Shot
HORNETS Rebound
HORNETS Turnover: Shot Clock (T#1)
",0,0,1,0,2024-11-29,22400040,0,0,NYK,1,0,-2,11:33,Off Short Mid-Range Make,1,MISS Salaün 30' 3PT Step Back Jump Shot,https://videos.nba.com/nba/pbp/media/2024/11/29/0022400040/8/945471d5-aeb2-2d99-ee54-c59fac9d756e_960x540.mp4,CHA,NYK,CHA,1610612766,2024,27.0,52.0,39.5,203995|1630182|1631217|1641706|1642275,1626157|1628384|1628404|1628969|1628973,2024-25,,
59700,11:08,"MISS Salaün 30' 3PT Step Back Jump Shot
HORNETS Rebound
HORNETS Turnover: Shot Clock (T#1)
",0,0,1,0,2024-11-29,22400040,0,0,NYK,1,0,-2,11:33,Off Short Mid-Range Make,1,HORNETS Turnover: Shot Clock (T#1),,CHA,NYK,CHA,1610612766,2024,27.0,52.0,39.5,203995|1630182|1631217|1641706|1642275,1626157|1628384|1628404|1628969|1628973,2024-25,,
59699,10:25,"Salaün 3PT Jump Shot (3 PTS) (Green 1 AST)
",0,0,1,1,2024-11-29,22400040,0,0,NYK,1,0,-2,10:43,Off Dead Ball,0,Salaün 3PT Jump Shot (3 PTS) (Green 1 AST),https://videos.nba.com/nba/pbp/media/2024/11/29/0022400040/12/d04b80e2-5088-2ec7-20ac-83910bb75f8c_960x540.mp4,CHA,NYK,CHA,1610612766,2024,77.0,95.0,86.0,203995|1630182|1631217|1641706|1642275,1626157|1628384|1628404|1628969|1628973,2024-25,,
59698,09:48,"Green 19' Pullup Jump Shot (2 PTS) (Miller 1 AST)
",1,1,0,0,2024-11-29,22400040,0,0,NYK,1,0,0,10:08,Off FT Make,0,Green 19' Pullup Jump Shot (2 PTS) (Miller 1 AST),https://videos.nba.com/nba/pbp/media/2024/11/29/0022400040/19/85e344ad-fe6b-33de-5e5f-c0ab41686fe3_960x540.mp4,CHA,NYK,CHA,1610612766,2024,112.0,132.0,122.0,203995|1630182|1631217|1641706|1642275,1626157|1628384|1628404|1628969|1628973,2024-25,,
59697,09:02,"Diabaté 5' Cutting Layup Shot (2 PTS) (Micić 1 AST)
",1,1,0,0,2024-11-29,22400040,0,0,NYK,1,0,2,09:21,Off Dead Ball,0,Diabaté 5' Cutting Layup Shot (2 PTS) (Micić 1 AST),https://videos.nba.com/nba/pbp/media/2024/11/29/0022400040/24/9878eb75-b827-4428-44e3-2f4a16d0741b_960x540.mp4,CHA,NYK,CHA,1610612766,2024,159.0,178.0,168.5,203995|1630182|1631217|1641706|1642275,1626157|1628384|1628404|1628969|1628973,2024-25,,
59696,08:26,"MISS Miller 26' 3PT Pullup Jump Shot
Towns REBOUND (Off:0 Def:1)
",0,0,1,0,2024-11-29,22400040,0,0,NYK,1,0,2,08:49,Off Short Mid-Range Make,0,Towns REBOUND (Off:0 Def:1),https://videos.nba.com/nba/pbp/media/2024/11/29/0022400040/28/bb8ae4a4-fd35-a44f-0e86-29d7a414b38c_960x540.mp4,CHA,NYK,CHA,1610612766,2024,191.0,214.0,202.5,203995|1630182|1631217|1641706|1642275,1626157|1628384|1628404|1628969|1628973,2024-25,,
59695,08:26,"MISS Miller 26' 3PT Pullup Jump Shot
Towns REBOUND (Off:0 Def:1)
",0,0,1,0,2024-11-29,22400040,0,0,NYK,1,0,2,08:49,Off Short Mid-Range Make,0,MISS Miller 26' 3PT Pullup Jump Shot,https://videos.nba.com/nba/pbp/media/2024/11/29/0022400040/27/22fa6bf8-2cf5-41f5-59c1-bcd2f9cc35e8_960x540.mp4,CHA,NYK,CHA,1610612766,2024,191.0,214.0,202.5,203995|1630182|1631217|1641706|1642275,1626157|1628384|1628404|1628969|1628973,2024-25,,
59694,07:58,"Miller Step Out of Bounds Turnover (P1.T2)
",0,0,0,0,2024-11-29,22400040,0,0,NYK,1,0,2,08:02,Off Short Mid-Range Miss,1,Miller Step Out of Bounds Turnover (P1.T2),https://videos.nba.com/nba/pbp/media/2024/11/29/0022400040/33/5464dd64-147f-2783-84cb-25c0c72ce3e9_960x540.mp4,CHA,NYK,CHA,1610612766,2024,238.0,242.0,240.0,203995|1630182|1631217|1641706|1642275,1626157|1628384|1628404|1628969|1628973,2024-25,,
59693,07:35,"Anunoby S.FOUL (P1.T1) (P.Fraher)
Salaün Free Throw 1 of 2 (4 PTS)
Salaün Free Throw 2 of 2 (5 PTS)
",0,0,0,0,2024-11-29,22400040,0,0,NYK,1,1,2,07:41,Off Long Mid-Range Miss,0,Salaün Free Throw 2 of 2 (5 PTS),,CHA,NYK,CHA,1610612766,2024,259.0,265.0,262.0,203995|1630182|1631217|1641706|1642275,1626157|1628384|1628404|1628969|1628973,2024-25,,
