ENDTIME,EVENTS,FG2A,FG2M,FG3A,FG3M,GAMEDATE,GAMEID,NONSHOOTINGFOULSTHATRESULTEDINFTS,OFFENSIVEREBOUNDS,OPPONENT,PERIOD,SHOOTINGFOULSDRAWN,STARTSCOREDIFFERENTIAL,STARTTIME,STARTTYPE,TURNOVERS,DESCRIPTION,URL,HTM,VTM,team,TEAM_ID,Year,start_seconds,end_seconds,mid_seconds,opp_players_on,players_on,season
01:41,"Aminu S.FOUL (P1.T4) (R.Garretson)
MISS Smith Free Throw 1 of 2
ROCKETS Rebound
MISS Smith Free Throw 2 of 2
Stoudemire REBOUND (Off:1 Def:2)
",0,0,0,0,2015-04-18,41400151,0,0,DAL,1,1,13,01:49,Off Corner 3 Miss,0,MISS Smith Free Throw 1 of 2,,HOU,DAL,HOU,1610612745,2015,611,619,615.0,2746|201147|201935|203143|203991,2405|2734|101145|202329|202718,2014-15
01:41,"Aminu S.FOUL (P1.T4) (R.Garretson)
MISS Smith Free Throw 1 of 2
ROCKETS Rebound
MISS Smith Free Throw 2 of 2
Stoudemire REBOUND (Off:1 Def:2)
",0,0,0,0,2015-04-18,41400151,0,0,DAL,1,1,13,01:49,Off Corner 3 Miss,0,Aminu S.FOUL (P1.T4) (R.Garretson),,HOU,DAL,HOU,1610612745,2015,611,619,615.0,2746|201147|201935|203143|203991,2405|2734|101145|202329|202718,2014-15
01:12,"Parsons S.FOUL (P1.PN) (T.Brown)
Harden Free Throw 1 of 2 (8 PTS)
MISS Harden Free Throw 2 of 2
Stoudemire REBOUND (Off:1 Def:3)
",0,0,0,0,2015-04-18,41400151,0,0,DAL,1,1,13,01:17,Off Short Mid-Range Miss,0,Stoudemire REBOUND (Off:1 Def:3),,HOU,DAL,HOU,1610612745,2015,643,648,645.5,2746|201147|201935|203143|203991,2405|2734|200826|202329|202718,2014-15
05:54,"Terry Bad Pass Turnover (P2.T4): Chandler STEAL (1 STL)
",0,0,0,0,2015-04-18,41400151,0,0,DAL,1,0,13,06:01,Off At Rim Miss,1,Terry Bad Pass Turnover (P2.T4): Chandler STEAL (1 STL),,HOU,DAL,HOU,1610612745,2015,359,366,362.5,1891|2730|2772|201935|203093,2199|101145|200765|202329|202718,2014-15
11:07,"MISS Jones 26' 3PT Jump Shot
Parsons REBOUND (Off:0 Def:1)
",0,0,1,0,2015-04-18,41400151,0,0,DAL,1,0,0,11:16,Off Long Mid-Range Miss,0,Parsons REBOUND (Off:0 Def:1),,HOU,DAL,HOU,1610612745,2015,44,53,48.5,1891|2730|2772|201935|203093,1717|2199|101145|200765|202718,2014-15
06:36,"Terry 24' 3PT Jump Shot (5 PTS) (Harden 3 AST)
",0,0,1,1,2015-04-18,41400151,0,0,DAL,1,0,8,06:54,Off FT Make,0,Terry 24' 3PT Jump Shot (5 PTS) (Harden 3 AST),,HOU,DAL,HOU,1610612745,2015,306,324,315.0,1891|2730|2772|201935|203093,2199|101145|200765|202329|202718,2014-15
01:41,"Aminu S.FOUL (P1.T4) (R.Garretson)
MISS Smith Free Throw 1 of 2
ROCKETS Rebound
MISS Smith Free Throw 2 of 2
Stoudemire REBOUND (Off:1 Def:2)
",0,0,0,0,2015-04-18,41400151,0,0,DAL,1,1,13,01:49,Off Corner 3 Miss,0,ROCKETS Rebound,,HOU,DAL,HOU,1610612745,2015,611,619,615.0,2746|201147|201935|203143|203991,2405|2734|101145|202329|202718,2014-15
05:13,"Nowitzki S.FOUL (P1.T2) (T.Brown)
MISS Capela Free Throw 1 of 2
ROCKETS Rebound
Capela Free Throw 2 of 2 (1 PTS)
",0,0,0,0,2015-04-18,41400151,0,0,DAL,1,1,9,05:25,Off At Rim Make,0,Capela Free Throw 2 of 2 (1 PTS),,HOU,DAL,HOU,1610612745,2015,395,407,401.0,1891|2772|201935|203093|203991,1717|2199|2734|101145|202329,2014-15
05:13,"Nowitzki S.FOUL (P1.T2) (T.Brown)
MISS Capela Free Throw 1 of 2
ROCKETS Rebound
Capela Free Throw 2 of 2 (1 PTS)
",0,0,0,0,2015-04-18,41400151,0,0,DAL,1,1,9,05:25,Off At Rim Make,0,ROCKETS Rebound,,HOU,DAL,HOU,1610612745,2015,395,407,401.0,1891|2772|201935|203093|203991,1717|2199|2734|101145|202329,2014-15
05:13,"Nowitzki S.FOUL (P1.T2) (T.Brown)
MISS Capela Free Throw 1 of 2
ROCKETS Rebound
Capela Free Throw 2 of 2 (1 PTS)
",0,0,0,0,2015-04-18,41400151,0,0,DAL,1,1,9,05:25,Off At Rim Make,0,MISS Capela Free Throw 1 of 2,,HOU,DAL,HOU,1610612745,2015,395,407,401.0,1891|2772|201935|203093|203991,1717|2199|2734|101145|202329,2014-15
05:13,"Nowitzki S.FOUL (P1.T2) (T.Brown)
MISS Capela Free Throw 1 of 2
ROCKETS Rebound
Capela Free Throw 2 of 2 (1 PTS)
",0,0,0,0,2015-04-18,41400151,0,0,DAL,1,1,9,05:25,Off At Rim Make,0,Nowitzki S.FOUL (P1.T2) (T.Brown),,HOU,DAL,HOU,1610612745,2015,395,407,401.0,1891|2772|201935|203093|203991,1717|2199|2734|101145|202329,2014-15
