ENDTIME,EVENTS,FG2A,FG2M,FG3A,FG3M,GAMEDATE,GAMEID,NONSHOOTINGFOULSTHATRESULTEDINFTS,OFFENSIVEREBOUNDS,OPPONENT,PERIOD,SHOOTINGFOULSDRAWN,STARTSCOREDIFFERENTIAL,STARTTIME,STARTTYPE,TURNOVERS,DESCRIPTION,URL,HTM,VTM,team,TEAM_ID,Year,start_seconds,end_seconds,mid_seconds,opp_players_on,players_on,season
03:04,"Ariza Bad Pass Turnover (P3.T13): Barnes STEAL (3 STL)
",0,0,0,0,2015-05-04,41400231,0,0,LAC,2,0,7,03:08,Off Steal,1,Ariza Bad Pass Turnover (P3.T13): Barnes STEAL (3 STL),,HOU,LAC,HOU,1610612745,2015,1252,1256,1254.0,1891|2730|2746|2772|201935,2037|2440|200755|201599|201933,2014-15
02:37,"Davis Personal Take Foul (P3.PN) (M.Callahan)
Howard Free Throw 1 of 2 (22 PTS)
MISS Howard Free Throw 2 of 2
Griffin REBOUND (Off:2 Def:9)
",0,0,0,0,2015-05-04,41400231,1,0,LAC,4,0,-10,02:37,Off Dead Ball,0,Davis Personal Take Foul (P3.PN) (M.Callahan),,HOU,LAC,HOU,1610612745,2015,2723,2723,2723.0,1891|2730|2772|201147|201935,2037|2440|200755|201175|201933,2014-15
02:19,"Griffin S.FOUL (P2.T4) (B.Spooner)
MISS Brewer Free Throw 1 of 2
ROCKETS Rebound
MISS Brewer Free Throw 2 of 2
Clippers Rebound
",0,0,0,0,2015-05-04,41400231,0,0,LAC,2,1,5,02:25,Off Steal,0,Clippers Rebound,,HOU,LAC,HOU,1610612745,2015,1295,1301,1298.0,1891|2730|2746|201147|201935,2037|2440|200755|201599|201933,2014-15
02:12,"MISS Brewer 4' Layup: Barnes BLOCK (2 BLK)
ROCKETS Rebound
Terry 25' 3PT Jump Shot (10 PTS) (Harden 12 AST)
",1,0,1,1,2015-05-04,41400231,0,1,LAC,4,0,-11,02:29,Off FT Make,0,Terry 25' 3PT Jump Shot (10 PTS) (Harden 12 AST),,HOU,LAC,HOU,1610612745,2015,2731,2748,2739.5,1891|2772|201147|201935|203143,2037|2440|200755|201933|203085,2014-15
09:58,"Harden 1' Driving Layup (10 PTS)
",1,1,0,0,2015-05-04,41400231,0,0,LAC,3,0,1,10:02,Off Steal,0,Harden 1' Driving Layup (10 PTS),,HOU,LAC,HOU,1610612745,2015,1558,1562,1560.0,1891|2730|2772|201935|203093,2440|200755|201599|201933|203085,2014-15
02:19,"Griffin S.FOUL (P2.T4) (B.Spooner)
MISS Brewer Free Throw 1 of 2
ROCKETS Rebound
MISS Brewer Free Throw 2 of 2
Clippers Rebound
",0,0,0,0,2015-05-04,41400231,0,0,LAC,2,1,5,02:25,Off Steal,0,MISS Brewer Free Throw 1 of 2,,HOU,LAC,HOU,1610612745,2015,1295,1301,1298.0,1891|2730|2746|201147|201935,2037|2440|200755|201599|201933,2014-15
02:19,"Griffin S.FOUL (P2.T4) (B.Spooner)
MISS Brewer Free Throw 1 of 2
ROCKETS Rebound
MISS Brewer Free Throw 2 of 2
Clippers Rebound
",0,0,0,0,2015-05-04,41400231,0,0,LAC,2,1,5,02:25,Off Steal,0,Griffin S.FOUL (P2.T4) (B.Spooner),,HOU,LAC,HOU,1610612745,2015,1295,1301,1298.0,1891|2730|2746|201147|201935,2037|2440|200755|201599|201933,2014-15
02:37,"Davis Personal Take Foul (P3.PN) (M.Callahan)
Howard Free Throw 1 of 2 (22 PTS)
MISS Howard Free Throw 2 of 2
Griffin REBOUND (Off:2 Def:9)
",0,0,0,0,2015-05-04,41400231,1,0,LAC,4,0,-10,02:37,Off Dead Ball,0,Howard Free Throw 1 of 2 (22 PTS),,HOU,LAC,HOU,1610612745,2015,2723,2723,2723.0,1891|2730|2772|201147|201935,2037|2440|200755|201175|201933,2014-15
03:04,"Barnes S.FOUL (P4.T4) (D.Stafford)
Harden Free Throw 1 of 3 (19 PTS)
MISS Harden Free Throw 2 of 3
ROCKETS Rebound
Harden Free Throw 3 of 3 (20 PTS)
",0,0,0,0,2015-05-04,41400231,0,0,LAC,4,1,-10,03:09,Off Long Mid-Range Miss,0,Harden Free Throw 1 of 3 (19 PTS),,HOU,LAC,HOU,1610612745,2015,2691,2696,2693.5,1891|2730|2746|2772|201935,2037|2440|200755|201599|201933,2014-15
04:50,"MISS Jones 3' Jump Shot
Barnes REBOUND (Off:0 Def:2)
",1,0,0,0,2015-05-04,41400231,0,0,LAC,2,0,9,05:05,Off At Rim Make,0,MISS Jones 3' Jump Shot,,HOU,LAC,HOU,1610612745,2015,1135,1150,1142.5,1891|2730|2772|201935|203093,2037|2440|200755|201599|201933,2014-15
