index,ENDTIME,EVENTS,FG2A,FG2M,FG3A,FG3M,GAMEDATE,GAMEID,NONSHOOTINGFOULSTHATRESULTEDINFTS,OFFENSIVEREBOUNDS,OPPONENT,PERIOD,SHOOTINGFOULSDRAWN,STARTSCOREDIFFERENTIAL,STARTTIME,STARTTYPE,TURNOVERS,DESCRIPTION,URL,HTM,VTM,team,TEAM_ID,Year,start_seconds,end_seconds,mid_seconds,opp_players_on,players_on,season
382593,07:07,"MISS Mitchell 3' Driving Layup
Nuggets Rebound
",1,0,0,0,2022-12-27,22200514,0,0,DEN,2,0,17,07:26,Off Timeout,0,MISS Mitchell 3' Driving Layup,https://videos.nba.com/nba/pbp/media/2022/12/27/0022200514/223/076f94f1-a229-ead3-d043-471ca3dea2d4_960x540.mp4,SAC,DEN,SAC,1610612758,2022,994,1013,1003.5,1626158|1626168|1628370|1628989|1630558,202397|203484|203999|1629008|1631128,2022-23
382594,07:07,"MISS Mitchell 3' Driving Layup
Nuggets Rebound
",1,0,0,0,2022-12-27,22200514,0,0,DEN,2,0,17,07:26,Off Timeout,0,Nuggets Rebound,,SAC,DEN,SAC,1610612758,2022,994,1013,1003.5,1626158|1626168|1628370|1628989|1630558,202397|203484|203999|1629008|1631128,2022-23
382595,07:47,"Lyles 2' Driving Layup (2 PTS) (Fox 3 AST)
",1,1,0,0,2022-12-27,22200514,0,0,DEN,2,0,15,08:08,Off Arc 3 Miss,0,Lyles 2' Driving Layup (2 PTS) (Fox 3 AST),https://videos.nba.com/nba/pbp/media/2022/12/27/0022200514/203/0cf0d9c1-41c0-d840-f06d-18b9b8c32025_960x540.mp4,SAC,DEN,SAC,1610612758,2022,952,973,962.5,1626158|1626168|1628368|1628370|1629644,201599|203484|1627750|1628427|1630538,2022-23
382596,08:14,"MISS Monk 3PT Jump Shot
Jordan REBOUND (Off:0 Def:1)
",0,0,1,0,2022-12-27,22200514,0,0,DEN,2,0,15,08:24,Off FT Make,0,MISS Monk 3PT Jump Shot,https://videos.nba.com/nba/pbp/media/2022/12/27/0022200514/199/4add35a8-f1c5-1ab6-8e40-5f977dd7fd44_960x540.mp4,SAC,DEN,SAC,1610612758,2022,936,946,941.0,1626158|1626168|1628368|1628370|1629644,201599|203484|1627750|1628427|1630538,2022-23
382597,08:14,"MISS Monk 3PT Jump Shot
Jordan REBOUND (Off:0 Def:1)
",0,0,1,0,2022-12-27,22200514,0,0,DEN,2,0,15,08:24,Off FT Make,0,Jordan REBOUND (Off:0 Def:1),https://videos.nba.com/nba/pbp/media/2022/12/27/0022200514/200/675b9596-09ff-aa0e-7f41-a1d6a13387f9_960x540.mp4,SAC,DEN,SAC,1610612758,2022,936,946,941.0,1626158|1626168|1628368|1628370|1629644,201599|203484|1627750|1628427|1630538,2022-23
382598,08:53,"Hyland Transition Take Foul (P1.T1) (S.Twardoski)
Fox Free Throw 1 of 1 (5 PTS)
MISS Monk 2' Driving Layup: Hyland BLOCK (1 BLK)
KINGS Rebound
MISS Lyles 3PT Jump Shot
Murray REBOUND (Off:1 Def:3)
",1,0,1,0,2022-12-27,22200514,1,1,DEN,2,0,16,09:21,Off Short Mid-Range Miss,0,Hyland Transition Take Foul (P1.T1) (S.Twardoski),,SAC,DEN,SAC,1610612758,2022,879,907,893.0,1626158|1626168|1628368|1628370|1629644,201599|203484|1627750|1628427|1630538,2022-23
382599,08:53,"Hyland Transition Take Foul (P1.T1) (S.Twardoski)
Fox Free Throw 1 of 1 (5 PTS)
MISS Monk 2' Driving Layup: Hyland BLOCK (1 BLK)
KINGS Rebound
MISS Lyles 3PT Jump Shot
Murray REBOUND (Off:1 Def:3)
",1,0,1,0,2022-12-27,22200514,1,1,DEN,2,0,16,09:21,Off Short Mid-Range Miss,0,Fox Free Throw 1 of 1 (5 PTS),,SAC,DEN,SAC,1610612758,2022,879,907,893.0,1626158|1626168|1628368|1628370|1629644,201599|203484|1627750|1628427|1630538,2022-23
382600,08:53,"Hyland Transition Take Foul (P1.T1) (S.Twardoski)
Fox Free Throw 1 of 1 (5 PTS)
MISS Monk 2' Driving Layup: Hyland BLOCK (1 BLK)
KINGS Rebound
MISS Lyles 3PT Jump Shot
Murray REBOUND (Off:1 Def:3)
",1,0,1,0,2022-12-27,22200514,1,1,DEN,2,0,16,09:21,Off Short Mid-Range Miss,0,MISS Monk 2' Driving Layup: Hyland BLOCK (1 BLK),https://videos.nba.com/nba/pbp/media/2022/12/27/0022200514/187/2b606e49-0955-5274-aed3-ec4a09bca670_960x540.mp4,SAC,DEN,SAC,1610612758,2022,879,907,893.0,1626158|1626168|1628368|1628370|1629644,201599|203484|1627750|1628427|1630538,2022-23
382601,08:53,"Hyland Transition Take Foul (P1.T1) (S.Twardoski)
Fox Free Throw 1 of 1 (5 PTS)
MISS Monk 2' Driving Layup: Hyland BLOCK (1 BLK)
KINGS Rebound
MISS Lyles 3PT Jump Shot
Murray REBOUND (Off:1 Def:3)
",1,0,1,0,2022-12-27,22200514,1,1,DEN,2,0,16,09:21,Off Short Mid-Range Miss,0,KINGS Rebound,,SAC,DEN,SAC,1610612758,2022,879,907,893.0,1626158|1626168|1628368|1628370|1629644,201599|203484|1627750|1628427|1630538,2022-23
382604,09:40,"MISS Fox 3PT Jump Shot
Cancar REBOUND (Off:0 Def:1)
",0,0,1,0,2022-12-27,22200514,0,0,DEN,2,0,16,09:54,Off Dead Ball,0,MISS Fox 3PT Jump Shot,https://videos.nba.com/nba/pbp/media/2022/12/27/0022200514/177/fccb4d5b-72b3-5c0b-a045-75dd04be0016_960x540.mp4,SAC,DEN,SAC,1610612758,2022,846,860,853.0,1626158|1626168|1628368|1628370|1629644,201599|1627750|1628427|1628971|1630538,2022-23
