ENDTIME,EVENTS,FG2A,FG2M,FG3A,FG3M,GAMEDATE,GAMEID,NONSHOOTINGFOULSTHATRESULTEDINFTS,OFFENSIVEREBOUNDS,OPPONENT,PERIOD,SHOOTINGFOULSDRAWN,STARTSCOREDIFFERENTIAL,STARTTIME,STARTTYPE,TURNOVERS,DESCRIPTION,URL,HTM,VTM,team,TEAM_ID,Year,start_seconds,end_seconds,mid_seconds,opp_players_on,players_on,season
08:21,"MISS Brown 26' 3PT Running Pull-Up Jump Shot
Murray REBOUND (Off:0 Def:1)
",0,0,1,0,2023-04-15,42200111,0,0,ATL,1,0,4,08:30,Off Arc 3 Miss,0,MISS Brown 26' 3PT Running Pull-Up Jump Shot,https://videos.nba.com/nba/pbp/media/2023/04/15/0042200111/43/6823ff94-4f76-1912-7d50-a050ea2818c4_960x540.mp4,BOS,ATL,BOS,1610612738,2023,210,219,214.5,201143|203935|1627759|1628369|1628401,203991|1627749|1628381|1629027|1629631,2022-23
10:30,"MISS Brown 16' Pullup Jump Shot
Hunter REBOUND (Off:0 Def:2)
",1,0,0,0,2023-04-15,42200111,0,0,ATL,3,0,30,10:43,Off Long Mid-Range Make,0,Hunter REBOUND (Off:0 Def:2),https://videos.nba.com/nba/pbp/media/2023/04/15/0042200111/366/1797dc7f-2439-f529-237d-1a4740299f18_960x540.mp4,BOS,ATL,BOS,1610612738,2023,1517,1530,1523.5,201143|203935|1627759|1628369|1628401,203991|1627749|1628381|1629027|1629631,2022-23
04:59,"Hunter P.FOUL (P3.PN) (B.Kennedy)
White Free Throw 1 of 2 (7 PTS)
White Free Throw 2 of 2 (8 PTS)
",0,0,0,0,2023-04-15,42200111,1,0,ATL,2,0,23,05:09,Off FT Make,0,White Free Throw 1 of 2 (7 PTS),,BOS,ATL,BOS,1610612738,2023,1131,1141,1136.0,201143|1627759|1627763|1628369|1628401,203991|1627749|1628381|1629027|1629631,2022-23
10:06,"Collins P.FOUL (P1.T1) (D.Guthrie)
Brown Lost Ball Turnover (P3.T9): Hunter STEAL (1 STL)
",0,0,0,0,2023-04-15,42200111,0,0,ATL,3,0,30,10:21,Off Steal,1,Collins P.FOUL (P1.T1) (D.Guthrie),,BOS,ATL,BOS,1610612738,2023,1539,1554,1546.5,201143|203935|1627759|1628369|1628401,203991|1627749|1628381|1629027|1629631,2022-23
09:39,"MISS Tatum 3' Driving Layup
Young REBOUND (Off:1 Def:1)
",1,0,0,0,2023-04-15,42200111,0,0,ATL,3,0,28,10:02,Off At Rim Make,0,Young REBOUND (Off:1 Def:1),https://videos.nba.com/nba/pbp/media/2023/04/15/0042200111/375/0d3c69b6-cf6f-c9c8-7d98-425a6e7856df_960x540.mp4,BOS,ATL,BOS,1610612738,2023,1558,1581,1569.5,201143|203935|1627759|1628369|1628401,203991|1627749|1628381|1629027|1629631,2022-23
09:39,"MISS Tatum 3' Driving Layup
Young REBOUND (Off:1 Def:1)
",1,0,0,0,2023-04-15,42200111,0,0,ATL,3,0,28,10:02,Off At Rim Make,0,MISS Tatum 3' Driving Layup,https://videos.nba.com/nba/pbp/media/2023/04/15/0042200111/374/85fb709a-d2c9-75aa-a7ff-b3d37f3d1f56_960x540.mp4,BOS,ATL,BOS,1610612738,2023,1558,1581,1569.5,201143|203935|1627759|1628369|1628401,203991|1627749|1628381|1629027|1629631,2022-23
00:55,"MISS Smart 26' 3PT Step Back Jump Shot
Horford REBOUND (Off:1 Def:4)
Williams III 2' Alley Oop Dunk (10 PTS) (White 3 AST)
",1,1,1,0,2023-04-15,42200111,0,1,ATL,2,0,24,01:21,Off FT Make,0,MISS Smart 26' 3PT Step Back Jump Shot,https://videos.nba.com/nba/pbp/media/2023/04/15/0042200111/332/f2d3cecd-9267-20f7-99a2-2907acdc8db1_960x540.mp4,BOS,ATL,BOS,1610612738,2023,1359,1385,1372.0,201143|203935|1628369|1628401|1629057,203991|1627749|1628381|1629027|1630180,2022-23
00:55,"MISS Smart 26' 3PT Step Back Jump Shot
Horford REBOUND (Off:1 Def:4)
Williams III 2' Alley Oop Dunk (10 PTS) (White 3 AST)
",1,1,1,0,2023-04-15,42200111,0,1,ATL,2,0,24,01:21,Off FT Make,0,Williams III 2' Alley Oop Dunk (10 PTS) (White 3 AST),https://videos.nba.com/nba/pbp/media/2023/04/15/0042200111/334/f7323b9a-f87b-ab91-42a1-e41cd86e1bdb_960x540.mp4,BOS,ATL,BOS,1610612738,2023,1359,1385,1372.0,201143|203935|1628369|1628401|1629057,203991|1627749|1628381|1629027|1630180,2022-23
09:08,"MISS Brown 26' 3PT Jump Shot
Murray REBOUND (Off:2 Def:3)
",0,0,1,0,2023-04-15,42200111,0,0,ATL,3,0,26,09:32,Off At Rim Make,0,MISS Brown 26' 3PT Jump Shot,https://videos.nba.com/nba/pbp/media/2023/04/15/0042200111/378/e317dd67-b0d1-deeb-0f17-e8857a2e6cd0_960x540.mp4,BOS,ATL,BOS,1610612738,2023,1588,1612,1600.0,201143|203935|1627759|1628369|1628401,203991|1627749|1628381|1629027|1629631,2022-23
03:40,"MISS Brown 5' Driving Layup: Collins BLOCK (2 BLK)
Brown REBOUND (Off:1 Def:5)
Brown 5' Driving Layup (13 PTS)
",2,1,0,0,2023-04-15,42200111,0,1,ATL,2,0,27,04:01,Off Timeout,0,Brown 5' Driving Layup (13 PTS),https://videos.nba.com/nba/pbp/media/2023/04/15/0042200111/301/4e1da91b-35ff-348a-6450-630792f9f6c8_960x540.mp4,BOS,ATL,BOS,1610612738,2023,1199,1220,1209.5,201143|1627759|1627763|1628369|1628401,203991|1627749|1628381|1629027|1630180,2022-23
