ENDTIME,EVENTS,FG2A,FG2M,FG3A,FG3M,GAMEDATE,GAMEID,NONSHOOTINGFOULSTHATRESULTEDINFTS,OFFENSIVEREBOUNDS,OPPONENT,PERIOD,SHOOTINGFOULSDRAWN,STARTSCOREDIFFERENTIAL,STARTTIME,STARTTYPE,TURNOVERS,DESCRIPTION,URL,HTM,VTM,team,TEAM_ID
00:00,,0,0,0,0,2010-03-17,20901010,0,0,SAS,4,0,26,00:18,Off Corner 3 Make,0,,,ORL,SAS,ORL,1610612753
00:30,"MISS Johnson  Driving Layup
Mason Jr. REBOUND (Off:0 Def:3)
",1,0,0,0,2010-03-17,20901010,0,0,SAS,4,0,29,00:36,Off Steal,0,MISS Johnson  Driving Layup,,ORL,SAS,ORL,1610612753
00:30,"MISS Johnson  Driving Layup
Mason Jr. REBOUND (Off:0 Def:3)
",1,0,0,0,2010-03-17,20901010,0,0,SAS,4,0,29,00:36,Off Steal,0,Mason Jr. REBOUND (Off:0 Def:3),,ORL,SAS,ORL,1610612753
00:53,"Anderson 14' Jump Shot (2 PTS)
",1,1,0,0,2010-03-17,20901010,0,0,SAS,4,0,27,01:10,Off Dead Ball,0,Anderson 14' Jump Shot (2 PTS),,ORL,SAS,ORL,1610612753
01:28,"Bass 7' Hook Shot (8 PTS)
",1,1,0,0,2010-03-17,20901010,0,0,SAS,4,0,25,01:52,Off Long Mid-Range Miss,0,Bass 7' Hook Shot (8 PTS),,ORL,SAS,ORL,1610612753
02:06,"Temple P.FOUL (P3.PN)
Bass Free Throw 1 of 2 (5 PTS)
Bass Free Throw 2 of 2 (6 PTS)
",0,0,0,0,2010-03-17,20901010,1,0,SAS,4,0,23,02:22,Off At Rim Make,0,Temple P.FOUL (P3.PN),,ORL,SAS,ORL,1610612753
02:06,"Temple P.FOUL (P3.PN)
Bass Free Throw 1 of 2 (5 PTS)
Bass Free Throw 2 of 2 (6 PTS)
",0,0,0,0,2010-03-17,20901010,1,0,SAS,4,0,23,02:22,Off At Rim Make,0,Bass Free Throw 1 of 2 (5 PTS),,ORL,SAS,ORL,1610612753
02:06,"Temple P.FOUL (P3.PN)
Bass Free Throw 1 of 2 (5 PTS)
Bass Free Throw 2 of 2 (6 PTS)
",0,0,0,0,2010-03-17,20901010,1,0,SAS,4,0,23,02:22,Off At Rim Make,0,Bass Free Throw 2 of 2 (6 PTS),,ORL,SAS,ORL,1610612753
02:33,"MISS Anderson 26' 3PT Jump Shot
Gortat REBOUND (Off:3 Def:6)
Gortat Lost Ball Turnover (P1.T10): Mason Jr. STEAL (1 STL)
",0,0,1,0,2010-03-17,20901010,0,1,SAS,4,0,25,02:54,Off Short Mid-Range Make,1,MISS Anderson 26' 3PT Jump Shot,,ORL,SAS,ORL,1610612753
02:33,"MISS Anderson 26' 3PT Jump Shot
Gortat REBOUND (Off:3 Def:6)
Gortat Lost Ball Turnover (P1.T10): Mason Jr. STEAL (1 STL)
",0,0,1,0,2010-03-17,20901010,0,1,SAS,4,0,25,02:54,Off Short Mid-Range Make,1,Gortat REBOUND (Off:3 Def:6),,ORL,SAS,ORL,1610612753
02:33,"MISS Anderson 26' 3PT Jump Shot
Gortat REBOUND (Off:3 Def:6)
Gortat Lost Ball Turnover (P1.T10): Mason Jr. STEAL (1 STL)
",0,0,1,0,2010-03-17,20901010,0,1,SAS,4,0,25,02:54,Off Short Mid-Range Make,1,Gortat Lost Ball Turnover (P1.T10): Mason Jr. STEAL (1 STL),,ORL,SAS,ORL,1610612753
03:12,"Johnson 19' Jump Shot (5 PTS)
Temple S.FOUL (P2.PN)
Johnson Free Throw 1 of 1 (6 PTS)
",1,1,0,0,2010-03-17,20901010,0,0,SAS,4,1,24,03:34,Off Short Mid-Range Make,0,Johnson 19' Jump Shot (5 PTS),,ORL,SAS,ORL,1610612753
03:12,"Johnson 19' Jump Shot (5 PTS)
Temple S.FOUL (P2.PN)
Johnson Free Throw 1 of 1 (6 PTS)
",1,1,0,0,2010-03-17,20901010,0,0,SAS,4,1,24,03:34,Off Short Mid-Range Make,0,Temple S.FOUL (P2.PN),,ORL,SAS,ORL,1610612753
03:12,"Johnson 19' Jump Shot (5 PTS)
Temple S.FOUL (P2.PN)
Johnson Free Throw 1 of 1 (6 PTS)
",1,1,0,0,2010-03-17,20901010,0,0,SAS,4,1,24,03:34,Off Short Mid-Range Make,0,Johnson Free Throw 1 of 1 (6 PTS),,ORL,SAS,ORL,1610612753
03:48,"Mason Jr. P.FOUL (P1.PN)
Redick Free Throw 1 of 2 (9 PTS)
Redick Free Throw 2 of 2 (10 PTS)
",0,0,0,0,2010-03-17,20901010,1,0,SAS,4,0,24,03:52,Off Long Mid-Range Miss,0,Mason Jr. P.FOUL (P1.PN),,ORL,SAS,ORL,1610612753
03:48,"Mason Jr. P.FOUL (P1.PN)
Redick Free Throw 1 of 2 (9 PTS)
Redick Free Throw 2 of 2 (10 PTS)
",0,0,0,0,2010-03-17,20901010,1,0,SAS,4,0,24,03:52,Off Long Mid-Range Miss,0,Redick Free Throw 1 of 2 (9 PTS),,ORL,SAS,ORL,1610612753
