actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,game_id,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,clock_seconds,period_start_seconds,seconds_into_period,game_seconds
8,PT11M28.00S,2025-03-27T23:42:57.0Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1628389,4.28712220762155,79.65686274509804,1610612748,2,0,2025-03-27T23:43:02Z,80000,False,-148.0,-12.0,1,left,B. Adebayo 14' Jump Shot (2 PTS) (A. Wiggins 1 AST),"[1628389, 203952]",22401062,1610612748,MIA,,,,Adebayo,B. Adebayo,,,,,Mid-Range,8-16 Left,14.88,Made,,,,,,,,2.0,,,,,,A. Wiggins,203952.0,1.0,,,688.0,0,32.0,32.0
13,PT11M00.00S,2025-03-27T23:43:47.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1642276,5.995400788436268,54.41176470588235,1610612748,2,2,2025-03-27T23:46:29Z,130000,False,-22.0,4.0,1,left,MISS K. Ware alley-oop Layup,[1642276],22401062,1610612748,MIA,alley-oop,,,Ware,K. Ware,,,,,Restricted Area,0-8 Center,2.24,Missed,,,,,,,,,,,,,,,,,,,660.0,0,60.0,60.0
14,PT10M58.00S,2025-03-27T23:43:49.8Z,1,REGULAR,rebound,offensive,[],1642276,,,1610612748,2,2,2025-03-27T23:46:29Z,140000,False,,,0,,K. Ware REBOUND (Off:1 Def:0),[1642276],22401062,1610612748,MIA,,,,Ware,K. Ware,,,,,Restricted Area,0-8 Center,,,13.0,1.0,0.0,1.0,,,,,,,,,,,,,,,658.0,0,62.0,62.0
15,PT10M57.00S,2025-03-27T23:43:55.0Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1642276,5.590000152587891,50.0,1610612748,2,2,2025-03-27T23:44:03Z,150000,False,0.0,0.0,1,left,MISS K. Ware tip Layup,[1642276],22401062,1610612748,MIA,tip,,,Ware,K. Ware,,,,,Restricted Area,0-8 Center,0.0,Missed,,,,,,,,,,,,,,,,,,,657.0,0,63.0,63.0
20,PT10M36.00S,2025-03-27T23:44:16.9Z,1,REGULAR,3pt,Jump Shot,[],202692,3.630091984231275,96.81372549019608,1610612748,2,4,2025-03-27T23:44:23Z,200000,False,-234.0,-18.0,1,left,MISS A. Burks 3PT,[202692],22401062,1610612748,MIA,,,,Burks,A. Burks,,,,,Left Corner 3,24+ Left,23.48,Missed,,,,,,,,,,,,,,,,,,,636.0,0,84.0,84.0
26,PT10M02.00S,2025-03-27T23:45:08.1Z,1,REGULAR,3pt,Jump Shot,[],202692,31.61957950065703,52.20588235294118,1610612748,2,6,2025-03-27T23:50:03Z,250000,False,-11.0,245.0,1,left,MISS A. Burks 24' pullup 3PT,[202692],22401062,1610612748,MIA,pullup,,,Burks,A. Burks,,,,,Above the Break 3,24+ Center,24.49,Missed,,,,,,,,,,,,,,,,,,,602.0,0,118.0,118.0
29,PT09M51.00S,2025-03-27T23:45:19.1Z,1,REGULAR,rebound,defensive,[],202692,,,1610612748,2,6,2025-03-27T23:45:27Z,280000,False,,,0,,A. Burks REBOUND (Off:0 Def:1),[202692],22401062,1610612748,MIA,,,,Burks,A. Burks,,,,,Restricted Area,0-8 Center,,,28.0,1.0,1.0,0.0,,,,,,,,,,,,,,,591.0,0,129.0,129.0
30,PT09M41.00S,2025-03-27T23:45:29.1Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1628389,11.645860709592641,40.19607843137255,1610612748,2,6,2025-03-27T23:45:38Z,290000,False,49.0,57.0,1,left,MISS B. Adebayo 7' turnaround Hook,[1628389],22401062,1610612748,MIA,turnaround,,,Adebayo,B. Adebayo,,,,,In The Paint (Non-RA),0-8 Center,7.52,Missed,,,,,,,,,,,,,,,,,,,581.0,0,139.0,139.0
31,PT09M38.00S,2025-03-27T23:45:32.1Z,1,REGULAR,rebound,offensive,[],1642276,,,1610612748,2,6,2025-03-27T23:45:38Z,300000,False,,,0,,K. Ware REBOUND (Off:2 Def:0),[1642276],22401062,1610612748,MIA,,,,Ware,K. Ware,,,,,In The Paint (Non-RA),0-8 Center,,,30.0,2.0,0.0,2.0,,,,,,,,,,,,,,,578.0,0,142.0,142.0
32,PT09M37.00S,2025-03-27T23:45:34.0Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],203952,29.38567674113009,29.411764705882355,1610612748,2,6,2025-03-27T23:45:42Z,310000,False,103.0,224.0,1,left,MISS A. Wiggins 24' 3PT,[203952],22401062,1610612748,MIA,,,,Wiggins,A. Wiggins,,,,,Above the Break 3,24+ Right Center,24.62,Missed,,,,,,,,,,,,,,,,,,,577.0,0,143.0,143.0
35,PT09M20.00S,2025-03-27T23:45:50.1Z,1,REGULAR,rebound,defensive,[],1642276,,,1610612748,2,6,2025-03-27T23:45:53Z,340000,False,,,0,,K. Ware REBOUND (Off:2 Def:1),[1642276],22401062,1610612748,MIA,,,,Ware,K. Ware,,,,,Above the Break 3,24+ Center,,,34.0,3.0,1.0,2.0,,,,,,,,,,,,,,,560.0,0,160.0,160.0
