index,ENDTIME,EVENTS,FG2A,FG2M,FG3A,FG3M,GAMEDATE,GAMEID,NONSHOOTINGFOULSTHATRESULTEDINFTS,OFFENSIVEREBOUNDS,OPPONENT,PERIOD,SHOOTINGFOULSDRAWN,STARTSCOREDIFFERENTIAL,STARTTIME,STARTTYPE,TURNOVERS,DESCRIPTION,URL,HTM,VTM,team,TEAM_ID,Year,start_seconds,end_seconds,mid_seconds,players_on,opp_players_on,season,actionNumber,start_seconds_in_period,end_seconds_in_period
111322,11:34,"Clingan BLOCK (1 BLK): MISS Capela 9' Hook Shot
Camara REBOUND (Off:0 Def:1)
",1,0,0,0,2024-11-17,0022400239,0,0,POR,1,0,0,12:00,Off Dead Ball,0,Camara REBOUND (Off:0 Def:1),,POR,ATL,ATL,1610612737,2024,0,26,13.0,203991|1629027|1630552|1630700|1642258,203924|1630703|1631101|1641739|1642270,2024-25,179,0,26
111321,11:34,"Clingan BLOCK (1 BLK): MISS Capela 9' Hook Shot
Camara REBOUND (Off:0 Def:1)
",1,0,0,0,2024-11-17,0022400239,0,0,POR,1,0,0,12:00,Off Dead Ball,0,Clingan BLOCK (1 BLK): MISS Capela 9' Hook Shot,,POR,ATL,ATL,1610612737,2024,0,26,13.0,203991|1629027|1630552|1630700|1642258,203924|1630703|1631101|1641739|1642270,2024-25,179,0,26
111320,11:23,"Young 25' 3PT Running Jump Shot (3 PTS) (Risacher 1 AST)
",0,0,1,1,2024-11-17,0022400239,0,0,POR,1,0,0,11:28,Off At Rim Miss,0,Young 25' 3PT Running Jump Shot (3 PTS) (Risacher 1 AST),,POR,ATL,ATL,1610612737,2024,32,37,34.5,203991|1629027|1630552|1630700|1642258,203924|1630703|1631101|1641739|1642270,2024-25,152,32,37
111319,10:54,"Young Out of Bounds - Bad Pass Turnover Turnover (P1.T1)
",0,0,0,0,2024-11-17,0022400239,0,0,POR,1,0,3,10:57,Off Long Mid-Range Miss,1,Young Out of Bounds - Bad Pass Turnover Turnover (P1.T1),,POR,ATL,ATL,1610612737,2024,63,66,64.5,203991|1629027|1630552|1630700|1642258,203924|1630703|1631101|1641739|1642270,2024-25,174,63,66
111318,10:35,"Risacher 1' Running Dunk (2 PTS) (Johnson 1 AST)
",1,1,0,0,2024-11-17,0022400239,0,0,POR,1,0,3,10:38,Off Long Mid-Range Miss,0,Risacher 1' Running Dunk (2 PTS) (Johnson 1 AST),,POR,ATL,ATL,1610612737,2024,82,85,83.5,203991|1629027|1630552|1630700|1642258,203924|1630703|1631101|1641739|1642270,2024-25,171,82,85
111317,10:12,"Clingan S.FOUL (P1.T1) (J.Tiven)
Risacher Free Throw 1 of 2 (3 PTS)
Risacher Free Throw 2 of 2 (4 PTS)
",0,0,0,0,2024-11-17,0022400239,0,0,POR,1,1,5,10:16,Off Short Mid-Range Miss,0,Risacher Free Throw 2 of 2 (4 PTS),,POR,ATL,ATL,1610612737,2024,104,108,106.0,203991|1629027|1630552|1630700|1642258,203924|1630703|1631101|1641739|1642270,2024-25,160,104,108
111316,10:12,"Clingan S.FOUL (P1.T1) (J.Tiven)
Risacher Free Throw 1 of 2 (3 PTS)
Risacher Free Throw 2 of 2 (4 PTS)
",0,0,0,0,2024-11-17,0022400239,0,0,POR,1,1,5,10:16,Off Short Mid-Range Miss,0,Risacher Free Throw 1 of 2 (3 PTS),,POR,ATL,ATL,1610612737,2024,104,108,106.0,203991|1629027|1630552|1630700|1642258,203924|1630703|1631101|1641739|1642270,2024-25,160,104,108
111315,10:12,"Clingan S.FOUL (P1.T1) (J.Tiven)
Risacher Free Throw 1 of 2 (3 PTS)
Risacher Free Throw 2 of 2 (4 PTS)
",0,0,0,0,2024-11-17,0022400239,0,0,POR,1,1,5,10:16,Off Short Mid-Range Miss,0,Clingan S.FOUL (P1.T1) (J.Tiven),,POR,ATL,ATL,1610612737,2024,104,108,106.0,203991|1629027|1630552|1630700|1642258,203924|1630703|1631101|1641739|1642270,2024-25,160,104,108
111314,09:52,"Capela 1' Alley Oop Dunk (2 PTS) (Daniels 1 AST)
",1,1,0,0,2024-11-17,0022400239,0,0,POR,1,0,5,09:59,Off At Rim Make,0,Capela 1' Alley Oop Dunk (2 PTS) (Daniels 1 AST),,POR,ATL,ATL,1610612737,2024,121,128,124.5,203991|1629027|1630552|1630700|1642258,203924|1630703|1631101|1641739|1642270,2024-25,132,121,128
111313,09:26,"Johnson 9' Driving Floating Jump Shot (2 PTS) (Risacher 2 AST)
",1,1,0,0,2024-11-17,0022400239,0,0,POR,1,0,7,09:39,Off Dead Ball,0,Johnson 9' Driving Floating Jump Shot (2 PTS) (Risacher 2 AST),,POR,ATL,ATL,1610612737,2024,141,154,147.5,203991|1629027|1630552|1630700|1642258,203924|1630703|1631101|1641739|1642270,2024-25,152,141,154
111310,08:51,"Clingan BLOCK (2 BLK): MISS Young 5' Driving Floating Jump Shot
Young REBOUND (Off:1 Def:1)
MISS Johnson 16' Step Back Jump Shot
Daniels REBOUND (Off:1 Def:0)
MISS Daniels 3' Tip Layup Shot
Hawks Rebound
Hawks Turnover: Shot Clock (T#2)
",3,0,0,0,2024-11-17,0022400239,0,2,POR,1,0,7,09:18,Off Short Mid-Range Make,1,Daniels REBOUND (Off:1 Def:0),,POR,ATL,ATL,1610612737,2024,162,189,175.5,203991|1629027|1630552|1630700|1642258,203924|1630703|1631101|1641739|1642270,2024-25,147,162,189
111308,08:51,"Clingan BLOCK (2 BLK): MISS Young 5' Driving Floating Jump Shot
Young REBOUND (Off:1 Def:1)
MISS Johnson 16' Step Back Jump Shot
Daniels REBOUND (Off:1 Def:0)
MISS Daniels 3' Tip Layup Shot
Hawks Rebound
Hawks Turnover: Shot Clock (T#2)
",3,0,0,0,2024-11-17,0022400239,0,2,POR,1,0,7,09:18,Off Short Mid-Range Make,1,Young REBOUND (Off:1 Def:1),,POR,ATL,ATL,1610612737,2024,162,189,175.5,203991|1629027|1630552|1630700|1642258,203924|1630703|1631101|1641739|1642270,2024-25,147,162,189
